"i2p","p2i"
-10,-10
-77,-45.8000001907349
-14.0000000968575,-18.3000001907349
-10,-2
-20,0
-20.5,-7
-14,-41.2000000476837
0,-3.40000009536743
0.699999809265137,-13.4000000953674
1,0
-11.2000000476837,-9.60000014305115
-6.80000019073486,1
-6.79999995231628,-10.2000000029802
2,2.79999995231628
-20,0
0,0
-12,3.79999995231628
3.09999990463257,1.5
-3,-22.2000000476837
-1.40000009536743,-10
-27.3999998569489,-20.2000000029802
-4.40000009536743,0
-12.5999998152256,-9
0.499999970197678,-3.40000009536743
0.899999998509884,-4.70000009983778
-9.19999980926514,0
2.79999995231628,-0.400000005960464
2.99999999254942,7
-13.4000001996756,-10
2.29999998211861,-7.20000004768372
-5,-0.300000071525574
-12.2000000476837,0
-10.1000000014901,0
2.79999995231628,9
-10,-4
0,0
-2.40000009536743,1
-2.20000004768372,0
-1,-0.100000001490116
-4.50000009685755,-6
15,0
5.40000009536743,-10
0.600000023841858,0
-5.10000009834766,0
-4,-14.4000000953674
1,-3
6.2000000923872,-0.699999928474426
-2.40000005066395,0
0,-4
2.60000009834766,-2.30000007152557
-8.40000009536743,-6.50000009685755
-10.1000000014901,-23
-2.40000009536743,2.59999994933605
-19,-2.10000000149012
-0.200000002980232,0
-21.5,-43.5
-30.4000000953674,-9.40000009536743
-27.6000000014901,8.20000018924475
-5.5,-19
0,-4
-13.3000000715256,-5.30000007152557
-5.59999991208315,-3.40000009536743
-4.40000009536743,-10.4000000059605
-29.0000001937151,0
-3.00000004470348,1
6,0
-20.4000000953674,0
1.40000000596046,-10
-6,-6.40000009536743
0.300000190734863,-20.4000000953674
-21,-25.4000000953674
-52.4000000953674,0
-10.1000000014901,0
5.09999990463257,-4.20000000298023
0,0
0,-11
0,-2.20000004768372
0,-10.2000000029802
2,2.79999995231628
-17,-7
-2.40000009536743,-1
0.599999904632568,-7.40000009536743
0,-5
-22.0999999046326,-3.40000009536743
-20,-10
-8.30000019073486,0
-5.19999980926514,-9.09999990463257
-10,-10
-20.9000000953674,-6.40000009536743
0.400000095367432,-20
-6.59999990463257,-4
0,-4
0,-4.40000009536743
7.5,0
-50,-30
-18.3999998122454,2.79999995231628
-2.20000004768372,0
-20,-9.19999980926514
-22.1999998092651,-10
-10,-6.80000019073486
-4.40000009536743,-9
-18.400000192225,0
-42.3000001907349,0
-10,-10.2000000029802
-31,-14
0,-2.20000004768372
0,-10
0,-10
0,0
-10,0
-10,-2.40000009536743
-68.7999999076128,-2
0,0
5.40000009536743,0
0,-5
0,-8.30000019073486
-5,-2
-34.4000000953674,0
-80.2000000476837,-22.8000000566244
-22.3000000417233,-9.90000005066395
-4.10000002384186,-10.3000001907349
-3,-17.2000000476837
0.899999998509884,-0.400000095367432
6.79999999701977,2.79999995231628
3.1999998986721,0
5.19999980926514,0
6.5,-2
0.499999925494194,5.49999990314245
-4,0
16.5,-2
0,0
0,-2
0,0
-9.19999980926514,2.79999995231628
-31.4000000953674,0
-12.9000002890825,0
-7.69999976456165,0
-1.60000002384186,2.5
-28.1999998092651,-0.400000005960464
0,3
1,2.59999994933605
6.5,0
0,0
1,0
0,-10
0,0
-11.1999998092651,-7.79999995231628
0,0
-5,-4.40000009536743
-8,0
-4,-4.20000004768372
-14,-6
-5,0
-23,-22.7000000029802
-7.19999992847443,-24.2000001519918
-8.20000000298023,-3.50000009685755
-6.99999991059303,0.500000089406967
-40.4000000059605,0
-22.2000000476837,-10
-42,-16
-41.4000000506639,-2.20000004768372
-3,-19.2000000029802
-2.80000007152557,0
-0.400000005960464,2.79999995231628
-213.100000061095,-34.8999999761581
-72.9000000953674,-27.6000000983477
-20.1000000238419,-2.40000009536743
-12.0000000596046,-20.4000000804663
-116.29999999702,-36.2000000029802
-58.4999999254942,-24.8000001013279
-30.8000001907349,-3.59999997913837
-50.700000077486,-10
-73.8000000119209,-32.2000001072884
-36.7000000029802,-17.2000000476837
-1.20000021159649,2.69999997317791
-10.1000001430511,-20.30000038445
-21.1000000014901,-3
6.5,-11
-48.7999999523163,-24.4000000953674
-9.99999976158142,0
-14.2000000476837,-14
-7.20000000298023,0
-1,-10
3.5,0
-31.1000000238419,-4.20000004768372
-19,-0.200000002980232
-22.9999999552965,-5
-6.40000009536743,-9
0.299999952316284,-3
-9.20000019669533,1
-10,0
0,0
0.0000000894069671630859,-2
-9,0
-8,2.79999995231628
-28.1999998092651,-17
9.29999999701977,-9
1,-19
0,-10
-18.5000000968575,-3.60000000149012
-51.5,-3.7999999076128
-1.40000000596046,-3
0.400000005960464,1.20000004768372
-14.8000001013279,-10.2000000029802
0,0
-9,-2.09999997913837
-13.0999997854233,-4.40000009536743
-17.6999998092651,2.89999997615814
1.40000009536743,0
2.90000009536743,1
6.5,-6
6.20000004768372,0.399999976158142
-2.20000004768372,0
0,-9.0999998152256
0,-1.89999997615814
-10,-4.40000009536743
-17.5,-9.69999980926514
-2,-20.6999998092651
-18.3000001907349,0
-4.40000009536743,8.90000009536743
-10,-15
-0.699999809265137,-5
-10,3.59999990463257
0,0
0,0
0,0
0,0
0,-2.20000004768372
6.5,-0.200000002980232
-3.40000009536743,1
1,2.79999995231628
9.29999995231628,1.89999997615814
0,0
-4,-10
0,2.79999995231628
0,0
0,0
-19.5999997854233,0
-9,-18.6999998092651
-49,-4.40000009536743
7.19999992847443,-6.90000021457672
-15.4999998807907,2.79999995231628
-79.8999999761581,-10
-39.3000000491738,-0.400000005960464
-32.4000000953674,1
-7.5,-0.100000001490116
-8.40000009536743,0
0,0.5
0,-9
-30,0
-5.40000000596046,-3.40000009536743
-4.40000009536743,0
0,0
0,0
0,0
-10,0
-2.5,-6.60000014305115
3.79999995231628,2
0,0
-4.09999990463257,-2.20000000298023
-9,0
2.89999999850988,0
-3.40000009536743,-10
-3.40000009536743,0
-3.90000009536743,0
-5.30000019073486,0
-20,0
-27.0000002384186,-9
-4.40000009536743,-9.40000009536743
1.00000004470348,0
-10.1000000014901,0
-20.8000001907349,-4.40000009536743
-15.6000001430511,-7.10000002384186
4.89999997615814,0
-20,0
-5,-20
-14.0999999046326,0
0,0
-10.8999999761581,-20.2000000476837
-7.59999990463257,0
0,-7
0,0
-20,-0.100000001490116
-4,-0.200000002980232
0,0
-9,-18.6999998092651
0,2
0,0
-4.40000009536743,-10.2000000029802
-14.0999999046326,0
-6,0
-1.40000009536743,0
-21.4000000059605,0
-30,0
0,0
0,0
-5.19999980926514,0
4.10000018775463,0
0,-10
-20,0
-0.200000002980232,0
-12.6999998092651,-6.20000000298023
-23.7000000476837,-2.20000004768372
-50,-28
-12.2000000923872,1
-9.40000009536743,0
-5,0
-8.09999990463257,0
0,0
-10,-0.200000002980232
-10,-18
1.89999997615814,-1.20000004768372
-10,0
0,-10.2000000029802
-4,0
0,0
-15.4000000953674,-8.69999980926514
1,-8.20000028610229
-22.8000001907349,0
-10,0
1.5,0
2,0
0,0
0,0
1,-4
-24.3000000715256,3.79999995231628
-3.90000009536743,1
-23.8999999761581,2
-12.3000000044703,-10.2000000029802
-23.6000000983477,-5
-3.20000004768372,0
-8.59999990463257,-5
-9.7999999076128,3.59999990463257
-40.0999999046326,-27.1000000014901
-18,0
-7.10000002384186,1
2.79999995231628,-26.2000000029802
-94,-9
-47.6000001430511,-15
-7.10000002384186,-4
-28,-5.40000009536743
-5,0
-27.4000000506639,8.00000018626451
-28,0
-12.4000000953674,-2
-19.7999999076128,-9
-31.3000000491738,-0.200000002980232
0,-16.5000001192093
-6.29999995231628,0
-26.5000001937151,0
-8.30000019073486,0
0,-3
0,0
0,-3.40000009536743
-37,-14
-16,-6
-8.80000019073486,-10
0,0
-19.1000000014901,0
-8.10000002384186,0
-7.59999990463257,0
1,-14.4000000953674
-33.4000000953674,2.69999995082617
-42.5999999046326,0
0,0
-18,0
0,0
0,0
0,0
-5,0
-4.40000009536743,-9
-10,0
-10,-33.4000000953674
-5,0
0,-19
0,0
0,0
-60,-17.3999994546175
-4.40000009536743,3
3.40000009536743,-4.2999999076128
-18.8000001907349,0
-77,-7.69999980926514
2.90000009536743,-9.0999998152256
-15.2000000029802,0
0,0
-8,1.89999997615814
-39.4000000953674,1
-24.7000000476837,0
-42.8000001907349,0
-20,-6.40000005066395
0,0
-8.70000014454126,-73.4000000953674
-8.30000019073486,0
-9.20000024139881,2
-4.20000004768372,-6.20000004768372
-53.2000002861023,0
-15.2000000029802,-10.5999997854233
-48.8000001907349,6.5
-81.2000000476837,-12
-52.9000000953674,-3.50000009685755
-17,-0.400000005960464
-7.09999990463257,-9.40000009536743
-16,0
-98.4000000953674,-20
-24.3999996930361,0
-6.79999983310699,0
-18.4000000953674,0
-57.2000002413988,-4.40000009536743
-78.1000000983477,-18.2999997138977
-4.09999990463257,-37.3999996185303
-27.6000000014901,-2.40000000596046
-2.40000009536743,6.49999988079071
0.799999713897705,0
-55.0000002384186,0
-43.4000000953674,-19
0,3
-12.4000000953674,-3.20000004768372
-28.4000000953674,-9
-28.0000002533197,-6.20000004768372
-83.5999999046326,1.20000004768372
-51.8000001907349,-12.0999999046326
-25.4000000953674,0
-13.0999999046326,-2.5
-4.40000009536743,0
-24,12.4999998807907
-16.8000001013279,-18.7000002861023
-15,0
-6.80000019073486,-7.79999995231628
0.0999999046325684,-7.5
-0.600000143051147,-19.2000000029802
10.6999999284744,4.69999992847443
-4.40000009536743,-8
-6.99999997764826,-10
17.7000000923872,0
-13.2000002861023,-4.69999980926514
-10,0
-5.40000009536743,1
-26.4000000506639,-10.4000000059605
-24.4000000953674,-7
-7.8000001013279,-9.20000000298023
-3.40000009536743,1
-21,-10
-35,0
0,-4.40000009536743
-27,0
0,-13.0999999046326
-45.2000000029802,0
0,-0.400000005960464
-1.40000009536743,0
-14.4000000953674,-2.29999962449074
-27,-20
-76.7999999076128,-9.10000000149012
-76.1999998092651,0
-3.20000028610229,-0.699999809265137
-120.600000143051,-12.999999910593
-119.800000429153,-62.9999999552965
-99.4000000506639,-37.2000001966953
-53.4000003933907,-38
-137.699999809265,5.70000052452087
-121.40000000596,-14.900000333786
-78.7999999523163,1.29999996721745
-130.700000047684,-26.3999998122454
-40.2000000029802,-45.4000000953674
-109.40000000596,-20.000000089407
-64.5999999046326,-30.2000001966953
-95.8000002354383,-19
-29.1999988555908,-15.0000000968575
-31.7999997138977,-13
-97.5000004768372,-18.0000001937151
-63.1000001430511,-10.0000002384186
-28.8000001460314,-14.8000001013279
-87.7000000998378,-15.8000001907349
-42.8000001907349,-4.10000009834766
-51.2000000476837,-21.3999996185303
-33.8000001460314,-41.2999993562698
-30.4999997168779,-15.2000000476837
-25.0999999046326,-8
-86.6000002622604,-8.40000009536743
-138.499999761581,-32.6999996230006
-20.6000000238419,-5
-12,-6.19999980926514
-66.0000001937151,-35.4000000953674
-56.1999998092651,-5.19999980926514
-17.2000000476837,-4
-45.80000038445,3.59999990463257
-68,-20
-114.600000143051,6.79999995231628
-49.8000001013279,-39.7999998107553
-31.8000000566244,-26.1000000014901
-42.2000000029802,-10.2000000476837
-32.2000003829598,4.79999999701977
-54.1999995261431,-20
-60.4000000059605,-0.100000001490116
-16.6000000983477,-15.2999998107553
-17.2000000998378,-3.70000000298023
-25.4000000953674,-18.7999999970198
-133.40000000596,-11
-82.4000000059605,-15.9000001996756
-55.3000000491738,-25.5000000521541
-39.8999998122454,-15.2999999821186
-8.39999990910292,-7
-77.0000002384186,4.2000000923872
-85.1000001728535,28.5
-85.5000000521541,-35.4000000506639
-11.4000000059605,0.699999958276749
-66.1000000014901,-17.9000000953674
-0.800000101327896,-11.4000000208616
-41.8000001013279,-29
0.5,-10.2000000029802
-12.9999999180436,4.5
-10.4000000059605,-5.69999983906746
-15,-3.59999990463257
-13.4000000953674,-32.2000000476837
-50.9000000953674,-8.80000019073486
-40.0000002384186,-24.2000000029802
-23.2000002861023,-5.60000014305115
-14.2999999523163,-25.1999999284744
-49.4000000059605,-3
-31.000000089407,-6
-4.49999973922968,-21.4000000953674
-58.0000002980232,-10.0999999940395
-120.40000000596,-14.1000000014901
-100.699999958277,-4.5
-51.0000000968575,-41.1000001505017
1.59999999403954,-2
-21.6000001430511,-40.1000000014901
-2.30000001192093,-7.60000009834766
-9.40000019222498,-2.70000000298023
-33,-13.2000000029802
-50.5999999046326,-14.6000000983477
-36.2000000029802,-4
-35.4000000953674,-8
6.09999978542328,-3.60000020265579
4.5,0.800000190734863
-12.0000001192093,3.5
-12.9000000804663,4.40000002086163
0,-17.4000000953674
-22,-9
-35.4999998360872,-13.6000000536442
-15.2000000476837,6.00000004470348
-33.7000000476837,-1.40000005066395
-8.50000010430813,-15
-45.4000002145767,-2.80000007152557
-32.7999999523163,-3.79999995231628
-20.4000003114343,-18
-50.7999998107553,-30.1000000014901
-48.4999997615814,-15.0000001937151
5.5,-24.7000002861023
-6,-0.500000014901161
-34.3000001907349,-36.1999998092651
-35.8000001013279,-17.2000000029802
-49.8999998643994,-56.8000001013279
-45.0000000074506,-8.5
-44.0999999046326,-10.8999999761581
-31.4000000953674,-3.39999997615814
-21.4000000953674,7
-85.8000001460314,-12.4000000953674
-12,-8.79999981075525
-5.50000007450581,-14.4000000506639
-13.7000002935529,0
-31.4000004827976,-11.4000000059605
-59.4000003039837,-3.20000004768372
-8.40000009536743,0
-58.8999996185303,-0.200000002980232
-34.5,-4.69999980926514
-32.6000000983477,1
-1.7999999076128,3.49999990314245
-29.9000001698732,-22
-1.70000004768372,3.1000000834465
-19.2000002861023,1.39999999850988
-5.5,0
-62.5,-8.60000005364418
-5,1
-40,-2.20000004768372
-32.1999998986721,-8.40000009536743
-80.4000000506639,0.600000023841858
-23.1000000014901,0
-75.9999997615814,5
-65.7000000476837,-14
-17.4999999552965,-39.5999997854233
-28.8000001460314,-16.6000000983477
-17.4000000953674,-13.1000001952052
-2.80000014603138,-24
-38.2000002861023,-2.5
-23.9000000953674,0
-40.5999999940395,0
-47.1999998092651,-9.30000001192093
-15.6000000983477,-14.6999998092651
6,0
-27.4000000059605,0
-9,0
1.09999990463257,-20.8999998569489
-11.5,0
0,0
-24,0
0,-26.0999994277954
-62.1999997198582,5.59999999403954
-20,2.90000009536743
-26.8000001907349,-18.4000000506639
-1.39999985694885,-9
-6.70000000298023,-4.70000016689301
-62.5,-23
-0.200000002980232,-40.2000000029802
-36.2000002861023,-28.8000001907349
-25.3999998122454,0
-19,-17
-18.8000000566244,-24.1000000238419
-58.0999999940395,-9
-17.0000000298023,-0.400000005960464
-77.200000077486,-17.4000000953674
-59.5999999046326,-15
-5,0
-6.89999997615814,0
-11.2000002861023,6.5
-28,-30.4000000953674
-0.599999904632568,-6.00000011920929
-14.2000000029802,-2
-28,0
-1.20000004768372,1
-10,-6.10000002384186
-16,-6.60000014305115
-22.4000002890825,-20
-32.4999995231628,4
4.50000011920929,0
-44,0.799999997019768
-0.300000071525574,-0.100000023841858
-27.1000000238419,0
-20,2.10000002384186
-16.5,0
-17,1.20000004768372
-14,1.89999997615814
-10,-10
-21.2000000029802,0
0.799999952316284,-13.5
-7.40000021457672,-10.1000000014901
0,0
-33.5,-10
-0.400000005960464,-20
-11,0
-31.400000102818,0
-10.8999998569489,-11
-12.5000001937151,-10.6000000983477
-2.60000005364418,-1.30000001192093
1.90000009536743,0
8.30000019073486,-5
-0.400000005960464,0
-10.1999999284744,1.89999997615814
-12.5,-2.20000004768372
-18.5000002980232,1
-16.0000002384186,2
-18.6999998092651,-10
-4.60000009834766,0.200000002980232
-23.8000001013279,2
-3,-18
-60.4999998807907,5.99999982863665
-23.1000000014901,0
3.39999985694885,3
-9,4
-13.4000000953674,9.30000019073486
-20.0999998599291,-20.7999999523163
-19,-0.100000001490116
-4,-7
-46.8000001013279,0
-13.9999999776483,-11.1999998092651
-31.5999999046326,-27.5999999046326
-14.7999997138977,1.49999988079071
-30.9000002890825,-3.90000000596046
-13.8000001013279,-26.4000000953674
-27.6000001430511,-13.3000001907349
-8,-22.4000000953674
-33.8000000268221,-16.2000000476837
-29.6000000983477,-9.59999999403954
-42.2000000476837,3.59999990463257
-30.200000166893,2.79999995231628
-10,-2.20000000298023
-19,-17.6999998092651
9.39999985694885,-3.40000009536743
-4.89999997615814,1.5
-13.4000000953674,0
-62,-4
-22.5000001192093,-0.599999994039536
1,-17.5000001192093
-30,-22
-27.4999999552965,-41
-57.0000000968575,-2.60000014305115
-14.7999997884035,-10
-12.200000166893,-4.2000000923872
-43.0999999046326,-8.80000019073486
0,-12.2000000029802
-11.700000166893,2.19999994337559
-0.399999976158142,4
-18,-0.100000001490116
-24,-10.6000000089407
-5.90000009536743,11.7999999970198
-5.10000002384186,8.40000009536743
1.39999985694885,0.799999758601189
6,4
0.900000005960464,0.5
-58,0
-19,2.59999994933605
-2.20000004768372,-4.40000009536743
-36.6000001430511,-8.40000009536743
-79,-19.0999999046326
-29,-10
-8.69999980926514,-25.9000000953674
-8.10000002384186,2.59999994933605
0,1
-59.4000000506639,-3
-47.2000000476837,-8.10000002384186
-43.8000001907349,-13.2999999523163
-14.3000000715256,11.6999999284744
-51.8999998569489,-29.5
-84.4000000953674,-14
-59.1000002399087,0
-83.0000006705523,0
-20.3000001907349,-2.49999995529652
-72.2000002861023,-7.10000000149012
-46.5,-7.40000000596046
-35.1000003442168,-3
-103.20000000298,-41
-54.4000000953674,-10.5
0.100000143051147,0
-30.6000000089407,-22.0999999046326
-16.4999998807907,-35
-87.1999999880791,-10
-69,-6.79999995231628
-44.7999999523163,-14.3000000268221
-56.2999999523163,-1.00000005960464
-8.8000001013279,-0.300000071525574
-97.9000000059605,3.30000008642673
-89.6999998614192,-14.1000000014901
-89.7000000029802,-13.4000000059605
-47.6000000089407,-7
-47.4000000506639,-19.2000000029802
-18.4000000953674,-3.09999999403954
-24.9000000953674,-13.4000000953674
-15.4000000953674,-10
