"city","zip","beds","baths","sqft","type","price","latitude","longitude"
"SACRAMENTO","z95838",2,1,836,"Residential",59222,38.631913,-121.434879
"SACRAMENTO","z95823",3,1,1167,"Residential",68212,38.478902,-121.431028
"SACRAMENTO","z95815",2,1,796,"Residential",68880,38.618305,-121.443839
"SACRAMENTO","z95815",2,1,852,"Residential",69307,38.616835,-121.439146
"SACRAMENTO","z95824",2,1,797,"Residential",81900,38.51947,-121.435768
"SACRAMENTO","z95841",3,1,1122,"Condo",89921,38.662595,-121.327813
"SACRAMENTO","z95842",3,2,1104,"Residential",90895,38.681659,-121.351705
"SACRAMENTO","z95820",3,1,1177,"Residential",91002,38.535092,-121.481367
"RANCHO_CORDOVA","z95670",2,2,941,"Condo",94905,38.621188,-121.270555
"RIO_LINDA","z95673",3,2,1146,"Residential",98937,38.700909,-121.442979
"SACRAMENTO","z95838",3,2,909,"Residential",100309,38.637663,-121.45152
"SACRAMENTO","z95823",3,2,1289,"Residential",106250,38.470746,-121.458918
"SACRAMENTO","z95815",1,1,871,"Residential",106852,38.618698,-121.435833
"SACRAMENTO","z95822",3,1,1020,"Residential",107502,38.482215,-121.492603
"SACRAMENTO","z95842",2,2,1022,"Residential",108750,38.672914,-121.35934
"SACRAMENTO","z95842",2,2,1134,"Condo",110700,38.700051,-121.351278
"RIO_LINDA","z95673",2,1,844,"Residential",113263,38.689591,-121.452239
"CITRUS_HEIGHTS","z95621",2,1,795,"Condo",116250,38.679776,-121.314089
"SACRAMENTO","z95833",2,1,588,"Residential",120000,38.612099,-121.469095
"RIO_LINDA","z95673",3,2,1356,"Residential",121630,38.689999,-121.46322
"CITRUS_HEIGHTS","z95621",3,2,1118,"Residential",122000,38.707851,-121.320707
"SACRAMENTO","z95823",4,2,1329,"Residential",122682,38.468173,-121.444071
"NORTH_HIGHLANDS","z95660",4,2,1240,"Residential",123000,38.702792,-121.38221
"SACRAMENTO","z95834",3,2,1601,"Residential",124100,38.628631,-121.488097
"NORTH_HIGHLANDS","z95660",3,2,901,"Residential",125000,38.701499,-121.37622
"ANTELOPE","z95843",3,2,1088,"Residential",126640,38.70974,-121.37377
"SACRAMENTO","z95820",3,1,963,"Residential",127281,38.537526,-121.478315
"SACRAMENTO","z95832",3,2,1119,"Residential",129000,38.476472,-121.501711
"SACRAMENTO","z95827",4,2,1380,"Residential",131200,38.558423,-121.327948
"SACRAMENTO","z95828",3,2,1248,"Residential",132000,38.472122,-121.404199
"ELK_GROVE","z95758",2,2,1039,"Condo",133000,38.423251,-121.444489
"NORTH_HIGHLANDS","z95660",3,2,1152,"Residential",134555,38.691161,-121.37192
"SACRAMENTO","z95827",3,2,1380,"Residential",136500,38.566663,-121.332644
"ELVERTA","z95626",3,2,1116,"Residential",138750,38.713182,-121.411227
"ELK_GROVE","z95758",2,2,1039,"Condo",141000,38.423251,-121.444489
"SACRAMENTO","z95823",3,2,1418,"Residential",146250,38.48742,-121.462459
"NORTH_HIGHLANDS","z95660",3,2,1082,"Residential",147308,38.658246,-121.375469
"SACRAMENTO","z95823",4,2,1472,"Residential",148750,38.479553,-121.463317
"SACRAMENTO","z95828",4,2,1146,"Residential",149593,38.49857,-121.420925
"SACRAMENTO","z95825",1,1,760,"Condo",150000,38.58514,-121.403736
"SACRAMENTO","z95835",2,2,1304,"Condo",152000,38.658812,-121.542345
"SACRAMENTO","z95822",3,2,1207,"Residential",154000,38.493955,-121.48966
"ELK_GROVE","z95624",3,2,1056,"Residential",156896,38.41653,-121.379653
"ANTELOPE","z95843",2,2,1043,"Residential",161250,38.72027,-121.331555
"NORTH_HIGHLANDS","z95660",4,2,1587,"Residential",161500,38.699251,-121.371414
"SACRAMENTO","z95833",4,1,1120,"Residential",164000,38.613765,-121.488694
"SACRAMENTO","z95823",4,2,1580,"Residential",165000,38.450543,-121.432538
"SACRAMENTO","z95823",4,1,1955,"Residential",166357,38.489405,-121.452811
"SACRAMENTO","z95838",4,2,1656,"Residential",166357,38.636748,-121.422159
"SACRAMENTO","z95823",3,2,1477,"Residential",168000,38.499954,-121.454469
"ELK_GROVE","z95624",3,2,1188,"Residential",170000,38.415518,-121.370527
"SACRAMENTO","z95828",4,2,1590,"Residential",173000,38.473814,-121.4
"SACRAMENTO","z95823",3,2,1463,"Residential",174250,38.477553,-121.419463
"SACRAMENTO","z95828",4,2,1714,"Residential",174313,38.474853,-121.406326
"SACRAMENTO","z95823",3,2,1185,"Residential",178480,38.465184,-121.434925
"GALT","z95632",3,2,1406,"Residential",178760,38.287789,-121.294715
"SACRAMENTO","z95842",4,2,1943,"Multi_Family",179580,38.665724,-121.358576
"SACRAMENTO","z95826",3,2,1172,"Residential",181000,38.547011,-121.366217
"CARMICHAEL","z95608",3,1,1152,"Residential",181872,38.662105,-121.313945
"SACRAMENTO","z95823",4,3,1851,"Residential",182587,38.4473,-121.435218
"ANTELOPE","z95843",3,2,1215,"Residential",182716,38.714609,-121.347887
"GALT","z95632",3,2,1130,"Residential",182750,38.260443,-121.297864
"ORANGEVALE","z95662",4,2,1603,"Residential",183200,38.664186,-121.217511
"GALT","z95632",3,1,1479,"Residential",188741,38.251808,-121.302493
"SACRAMENTO","z95823",3,2,1420,"Residential",189000,38.459041,-121.424644
"SACRAMENTO","z95826",3,2,1280,"Residential",192067,38.560767,-121.377471
"ELK_GROVE","z95758",3,2,1586,"Residential",194000,38.422811,-121.423285
"ANTELOPE","z95843",3,2,1362,"Residential",194818,38.711279,-121.393449
"SACRAMENTO","z95828",4,4,2162,"Multi_Family",195000,38.48009,-121.415102
"SACRAMENTO","z95823",3,2,1266,"Residential",198000,38.44004,-121.421012
"ELK_GROVE","z95624",4,2,1715,"Residential",199500,38.44076,-121.385792
"FOLSOM","z95630",3,2,1820,"Residential",200000,38.687742,-121.17104
"CARMICHAEL","z95608",3,1,936,"Residential",200000,38.664468,-121.32683
"SACRAMENTO","z95834",2,3,1665,"Residential",206000,38.631481,-121.50188
"SACRAMENTO","z95834",3,2,1511,"Residential",208000,38.653439,-121.535169
"SACRAMENTO","z95823",4,2,1590,"Residential",212864,38.454349,-121.439239
"ELK_GROVE","z95758",4,2,1596,"Residential",221000,38.427818,-121.424026
"SACRAMENTO","z95835",2,2,1341,"Residential",221000,38.67307,-121.506373
"ELK_GROVE","z95624",5,3,2136,"Residential",223058,38.435436,-121.394536
"ELK_GROVE","z95624",4,2,1616,"Residential",227887,38.400676,-121.38101
"SACRAMENTO","z95823",3,2,1478,"Residential",231477,38.491399,-121.443547
"RANCHO_CORDOVA","z95670",3,2,1287,"Residential",234697,38.593699,-121.31089
"CITRUS_HEIGHTS","z95621",4,2,1277,"Residential",235000,38.702855,-121.31308
"SACRAMENTO","z95833",4,2,1448,"Residential",236000,38.618457,-121.509439
"SACRAMENTO","z95829",4,3,2235,"Residential",236685,38.463355,-121.358936
"MATHER","z95655",3,2,2093,"Residential",237800,38.547991,-121.280483
"RIO_LINDA","z95673",3,2,1193,"Residential",240122,38.693818,-121.441153
"ELK_GROVE","z95757",3,2,2163,"Residential",242638,38.400974,-121.448424
"SACRAMENTO","z95828",3,2,1269,"Residential",244000,38.478198,-121.412911
"SACRAMENTO","z95833",3,3,1473,"Residential",244500,38.626671,-121.52597
"SACRAMENTO","z95828",3,1,958,"Residential",244960,38.502519,-121.420769
"ELK_GROVE","z95624",5,3,2508,"Residential",245918,38.443832,-121.382087
"CITRUS_HEIGHTS","z95621",3,2,1305,"Residential",250000,38.665395,-121.293288
"ELK_GROVE","z95758",4,2,1591,"Residential",250000,38.444909,-121.412345
"CARMICHAEL","z95608",2,2,1326,"Condo",250134,38.637028,-121.312963
"ELK_GROVE","z95757",3,2,1843,"Residential",254200,38.38692,-121.447349
"SACRAMENTO","z95841",4,2,1921,"Residential",254200,38.653917,-121.34218
"ELK_GROVE","z95758",5,3,2790,"Residential",258000,38.42568,-121.438062
"SACRAMENTO","z95835",3,2,1541,"Residential",260000,38.656251,-121.547572
"SACRAMENTO","z95820",3,1,1018,"Residential",260014,38.53151,-121.421089
"RANCHO_CORDOVA","z95742",4,2,1713,"Residential",263500,38.553867,-121.219141
"SACRAMENTO","z95834",3,2,1672,"Condo",265000,38.648879,-121.544023
"POLLOCK_PINES","z95726",3,2,1380,"Residential",265000,38.708315,-120.603872
"SACRAMENTO","z95822",3,1,975,"Residential",271742,38.523947,-121.484946
"SACRAMENTO","z95829",4,3,2372,"Residential",273750,38.472976,-121.318633
"SACRAMENTO","z95822",3,2,1446,"Residential",275086,38.502194,-121.490795
"POLLOCK_PINES","z95726",2,2,1284,"Residential",280908,38.75485,-120.60476
"SACRAMENTO","z95832",4,3,3009,"Residential",280987,38.474099,-121.490711
"SACRAMENTO","z95826",8,4,3612,"Multi_Family",282400,38.559505,-121.364839
"ELK_GROVE","z95758",4,2,2056,"Residential",285000,38.410992,-121.479043
"ELK_GROVE","z95624",4,2,1993,"Residential",287417,38.4439,-121.37255
"ELK_GROVE","z95757",3,2,1857,"Residential",291000,38.391538,-121.442596
"SACRAMENTO","z95818",2,1,1126,"Residential",292024,38.556098,-121.490787
"SACRAMENTO","z95827",4,4,2213,"Multi_Family",297000,38.5703,-121.315735
"ELK_GROVE","z95758",5,3,2494,"Residential",297000,38.442031,-121.410873
"ELK_GROVE","z95757",3,2,1843,"Residential",298000,38.40154,-121.447649
"GOLD_RIVER","z95670",2,2,1520,"Residential",299000,38.62869,-121.261669
"SACRAMENTO","z95835",5,3,2800,"Residential",304037,38.658182,-121.549521
"ELK_GROVE","z95624",4,2,2309,"Residential",311000,38.442352,-121.389675
"SACRAMENTO","z95827",5,3,2367,"Residential",315537,38.555993,-121.340352
"RANCHO_CORDOVA","z95742",5,4,3516,"Residential",320000,38.545128,-121.224922
"RANCHO_CORDOVA","z95742",4,3,2536,"Residential",320000,38.528575,-121.2286
"SACRAMENTO","z95826",4,3,1914,"Residential",328360,38.550848,-121.370224
"ORANGEVALE","z95662",2,1,1690,"Residential",334150,38.71147,-121.216214
"ELK_GROVE","z95757",3,3,2725,"Residential",335750,38.398609,-121.450148
"ELK_GROVE","z95757",4,3,2354,"Residential",335750,38.403492,-121.430224
"SACRAMENTO","z95833",3,3,1842,"Residential",339500,38.602416,-121.542965
"FOLSOM","z95630",3,2,2185,"Residential",344250,38.68479,-121.149199
"ELK_GROVE","z95758",4,2,1801,"Residential",346210,38.41333,-121.404999
"SACRAMENTO","z95823",3,3,1961,"Residential",347029,38.448507,-121.421346
"ELK_GROVE","z95757",4,2,3134,"Residential",347650,38.380635,-121.425538
"SACRAMENTO","z95823",4,3,1915,"Residential",351300,38.46534,-121.457519
"EL_DORADO_HILLS","z95762",3,3,1873,"Residential",352000,38.691299,-121.081752
"SACRAMENTO","z95831",3,3,1638,"Residential",370000,38.4772,-121.5215
"RANCHO_MURIETA","z95683",4,3,2734,"Residential",370500,38.4874,-121.075129
"WILTON","z95693",3,2,2110,"Residential",372000,38.35062,-121.228349
"ELK_GROVE","z95757",5,3,3164,"Residential",375000,38.4019,-121.420388
"SACRAMENTO","z95835",5,3,3599,"Residential",381300,38.677126,-121.500519
"SACRAMENTO","z95831",4,2,2054,"Residential",381942,38.509819,-121.519661
"ANTELOPE","z95843",4,2,1830,"Residential",387731,38.709873,-121.339472
"SACRAMENTO","z95814",3,3,1627,"Residential",391000,38.58355,-121.487289
"ELK_GROVE","z95757",4,3,3440,"Residential",394470,38.408351,-121.423925
"GREENWOOD","z95635",3,2,2846,"Residential",395000,38.945357,-120.908822
"ELK_GROVE","z95624",4,3,2359,"Residential",400186,38.450829,-121.349928
"SACRAMENTO","z95831",3,3,2052,"Residential",415000,38.487885,-121.545947
"ELK_GROVE","z95757",5,3,3433,"Residential",425000,38.385638,-121.422616
"RANCHO_CORDOVA","z95742",5,3,3615,"Residential",430000,38.550617,-121.23526
"ELK_GROVE","z95624",6,4,3714,"Residential",445000,38.420338,-121.363757
"FOLSOM","z95630",5,3,2687,"Residential",460000,38.646273,-121.175322
"ELK_GROVE","z95757",4,3,2724,"Residential",461000,38.38253,-121.428007
"ELK_GROVE","z95757",4,3,3440,"Residential",489332,38.406421,-121.422081
"ELK_GROVE","z95757",5,4,3508,"Residential",510000,38.38253,-121.428038
"FOLSOM","z95630",4,2,2462,"Residential",539000,38.655167,-121.090178
"FOLSOM","z95630",5,3,2900,"Residential",585000,38.670947,-121.097727
"EL_DORADO_HILLS","z95762",4,4,3705,"Residential",600000,38.672761,-121.050378
"EL_DORADO_HILLS","z95762",4,3,3527,"Residential",606238,38.666807,-121.06483
"SACRAMENTO","z95864",3,3,2325,"Residential",660000,38.591618,-121.370626
"EL_DORADO_HILLS","z95762",6,5,4878,"Residential",830000,38.669931,-121.05958
"CITRUS_HEIGHTS","z95621",2,1,795,"Condo",69000,38.680923,-121.313945
"SACRAMENTO","z95817",4,2,1099,"Residential",70000,38.554967,-121.468046
"ELK_GROVE","z95624",2,1,840,"Condo",71000,38.40573,-121.369832
"SACRAMENTO","z95815",2,1,800,"Residential",78000,38.624678,-121.439203
"SACRAMENTO","z95824",2,1,746,"Residential",78400,38.518044,-121.443555
"SACRAMENTO","z95822",3,1,1067,"Residential",80000,38.515125,-121.480416
"SACRAMENTO","z95815",4,2,1316,"Residential",89000,38.623571,-121.454884
"SACRAMENTO","z95815",3,1,1337,"Residential",90000,38.622953,-121.450142
"SACRAMENTO","z95824",2,1,868,"Residential",90000,38.518373,-121.411779
"SACRAMENTO","z95824",3,1,924,"Residential",92000,38.51055,-121.414768
"SACRAMENTO","z95820",2,1,610,"Residential",93675,38.53942,-121.446894
"RANCHO_MURIETA","z95683",3,2,1516,"Residential",97750,38.492287,-121.100032
"SACRAMENTO","z95815",2,1,1220,"Residential",98000,38.621998,-121.442238
"ELK_GROVE","z95758",1,1,722,"Condo",98000,38.423251,-121.444489
"SACRAMENTO","z95864",3,1,1643,"Residential",99000,38.588672,-121.373916
"ELK_GROVE","z95758",1,1,722,"Condo",100000,38.423251,-121.444489
"GALT","z95632",3,1,1080,"Residential",106716,38.241514,-121.312199
"SACRAMENTO","z95820",3,1,1039,"Residential",111000,38.52712,-121.435348
"NORTH_HIGHLANDS","z95660",3,1,1051,"Residential",111000,38.67895,-121.379406
"SACRAMENTO","z95842",2,2,967,"Residential",114800,38.682279,-121.352817
"RANCHO_CORDOVA","z95670",3,1,1098,"Residential",120108,38.587156,-121.295778
"SACRAMENTO","z95824",3,1,1050,"Residential",123225,38.518942,-121.430158
"SACRAMENTO","z95838",3,2,1110,"Residential",123750,38.636565,-121.460383
"NORTH_HIGHLANDS","z95660",3,1,888,"Residential",125000,38.650445,-121.374861
"SACRAMENTO","z95822",3,2,1120,"Residential",125000,38.514665,-121.480411
"ELVERTA","z95626",3,2,1080,"Residential",126000,38.717976,-121.407684
"NORTH_HIGHLANDS","z95660",3,1,957,"Residential",129000,38.66654,-121.378298
"SACRAMENTO","z95838",2,1,952,"Residential",134000,38.637678,-121.452476
"SACRAMENTO","z95838",3,2,1211,"Residential",135000,38.658478,-121.450409
"SACRAMENTO","z95815",3,2,1264,"Residential",135500,38.61779,-121.436765
"SACRAMENTO","z95833",3,1,1080,"Residential",140000,38.623817,-121.477827
"GALT","z95632",3,2,1266,"Residential",140000,38.270617,-121.299205
"FAIR_OAKS","z95628",2,2,994,"Condo",142500,38.662785,-121.276272
"SACRAMENTO","z95834",3,2,1202,"Residential",143500,38.631056,-121.48508
"ELK_GROVE","z95758",2,2,1039,"Condo",145000,38.423251,-121.444489
"SACRAMENTO","z95820",2,1,722,"Residential",145000,38.532727,-121.470783
"SACRAMENTO","z95828",4,2,1448,"Residential",145000,38.488623,-121.410582
"SACRAMENTO","z95828",3,2,1188,"Residential",145000,38.488611,-121.412808
"NORTH_HIGHLANDS","z95660",4,2,1183,"Residential",146000,38.692915,-121.367497
"SACRAMENTO","z95822",3,1,1320,"Residential",148500,38.487444,-121.491366
"SACRAMENTO","z95828",3,2,1117,"Residential",149000,38.473288,-121.3963
"SACRAMENTO","z95828",3,2,1364,"Residential",150000,38.482876,-121.405912
"SACRAMENTO","z95823",4,2,1310,"Residential",150000,38.484834,-121.449316
"ELK_GROVE","z95758",2,2,1006,"Residential",152000,38.420138,-121.412179
"CITRUS_HEIGHTS","z95621",3,2,1104,"Residential",156000,38.693724,-121.307169
"SACRAMENTO","z95825",2,1,810,"Residential",156000,38.609982,-121.419263
"ELK_GROVE","z95624",2,2,1123,"Residential",156000,38.41875,-121.370019
"SACRAMENTO","z95842",2,1,904,"Residential",157788,38.67273,-121.359645
"CITRUS_HEIGHTS","z95621",3,2,1156,"Residential",161653,38.720653,-121.302241
"SACRAMENTO","z95820",2,1,1321,"Residential",161829,38.541965,-121.452132
"ANTELOPE","z95843",3,2,1392,"Residential",165000,38.715346,-121.388163
"SACRAMENTO","z95823",3,2,1439,"Residential",168000,38.448288,-121.420719
"SACRAMENTO","z95842",3,2,1159,"Residential",169000,38.69951,-121.359989
"RANCHO_CORDOVA","z95670",3,2,1671,"Residential",175000,38.591477,-121.31534
"SACRAMENTO","z95823",3,2,1740,"Residential",176250,38.457654,-121.431381
"SACRAMENTO","z95823",3,2,1265,"Residential",179000,38.461283,-121.434322
"ANTELOPE","z95843",2,2,1007,"Residential",180000,38.710889,-121.358876
"ELK_GROVE","z95758",3,2,1716,"Residential",180400,38.417649,-121.420294
"ELK_GROVE","z95758",4,2,1685,"Residential",182000,38.417182,-121.397231
"RANCHO_CORDOVA","z95670",4,2,1829,"Residential",184500,38.592383,-121.318669
"ELK_GROVE","z95758",3,2,1555,"Residential",185000,38.435471,-121.441173
"CARMICHAEL","z95608",4,2,1120,"Residential",189000,38.666564,-121.325717
"CITRUS_HEIGHTS","z95621",3,2,1137,"Residential",194000,38.718693,-121.303619
"SACRAMENTO","z95826",3,1,1174,"Residential",195000,38.543697,-121.366683
"ANTELOPE","z95843",3,2,1393,"Residential",200000,38.704407,-121.36113
"CAMERON_PARK","z95682",3,1.5,1415,"Residential",201000,38.694052,-120.995589
"LINCOLN","z95648",4,2,2126,"Residential",202500,38.879192,-121.309477
"SACRAMENTO","z95828",3,2,1289,"Residential",205000,38.461296,-121.390858
"SACRAMENTO","z95838",4,2,1799,"Residential",205000,38.655887,-121.446119
"PLACERVILLE","z95667",3,2,1308,"Residential",205000,38.74458,-120.794254
"SACRAMENTO","z95823",4,3,1953,"Residential",205000,38.443253,-121.431992
"SACRAMENTO","z95820",2,1,723,"Residential",207000,38.536741,-121.42115
"CAMERON_PARK","z95682",2,1.5,1376,"Residential",210000,38.69437,-120.996602
"PLACERVILLE","z95667",2,1,948,"Residential",211500,38.739774,-120.860243
"CITRUS_HEIGHTS","z95621",4,2,1578,"Residential",215000,38.696489,-121.328555
"CITRUS_HEIGHTS","z95610",3,2,1317,"Residential",215000,38.710388,-121.261096
"SACRAMENTO","z95833",3,3,1360,"Residential",215500,38.626582,-121.52151
"SACRAMENTO","z95824",3,1,1360,"Residential",222381,38.513066,-121.451909
"SACRAMENTO","z95833",3,2,1522,"Residential",225000,38.624762,-121.522775
"SACRAMENTO","z95825",4,2,1751,"Residential",225000,38.606603,-121.394147
"ELK_GROVE","z95624",3,2,1465,"Residential",225000,38.419214,-121.348533
"SACRAMENTO","z95826",4,2,1605,"Residential",228000,38.55821,-121.355022
"RIO_LINDA","z95673",4,2,1475,"Residential",229665,38.702893,-121.454949
"MEADOW_VISTA","z95722",3,1,1216,"Residential",230000,39.008159,-121.03623
"FAIR_OAKS","z95628",2,2,1315,"Residential",230000,38.665644,-121.259969
"ELK_GROVE","z95757",3,2,1567,"Residential",230000,38.390557,-121.449805
"SACRAMENTO","z95835",3,2,1776,"Residential",234000,38.672495,-121.515251
"SACRAMENTO","z95835",3,2,2187,"Residential",235000,38.661658,-121.540633
"SACRAMENTO","z95822",3,1,1291,"Residential",236250,38.534596,-121.493121
"FOLSOM","z95630",2,2,1129,"Condo",240000,38.6457,-121.1197
"ELK_GROVE","z95624",3,2.5,1453,"Residential",242000,38.43742,-121.372876
"SACRAMENTO","z95842",3,2,1503,"Residential",245000,38.699489,-121.361828
"SACRAMENTO","z95828",4,3,2491,"Residential",245000,38.459711,-121.384283
"SACRAMENTO","z95816",2,1,1269,"Residential",245000,38.562296,-121.467489
"SACRAMENTO","z95835",3,2.5,1718,"Residential",250000,38.676658,-121.528128
"ORANGEVALE","z95662",3,2,1176,"Residential",250000,38.669882,-121.213533
"ORANGEVALE","z95662",4,2,1456,"Residential",250000,38.692199,-121.250975
"ROSEVILLE","z95678",3,2,1498,"Residential",250000,38.725283,-121.297953
"ANTELOPE","z95843",3,2,1574,"Residential",255000,38.710221,-121.341651
"CITRUS_HEIGHTS","z95610",5,4,2085,"Multi_Family",256054,38.682358,-121.272876
"SACRAMENTO","z95829",3,2,2170,"Residential",257729,38.45967,-121.360461
"ELK_GROVE","z95758",4,2,1595,"Residential",260000,38.409634,-121.410787
"ANTELOPE","z95843",3,2,1567,"Residential",261000,38.705849,-121.334701
"LINCOLN","z95648",4,3,2943,"Residential",261800,38.879084,-121.298586
"SACRAMENTO","z95822",4,2,1253,"Residential",264469,38.482704,-121.500433
"ANTELOPE","z95843",4,3,1768,"Residential",265000,38.717042,-121.35468
"SACRAMENTO","z95835",4,2.5,1980,"Residential",270000,38.676937,-121.529244
"SACRAMENTO","z95835",4,3,2030,"Residential",270000,38.671807,-121.498274
"SACRAMENTO","z95835",3,2,1531,"Residential",270000,38.665704,-121.529096
"SACRAMENTO","z95834",4,3,1750,"Residential",270000,38.647961,-121.543162
"ELK_GROVE","z95624",4,3,1653,"Residential",275000,38.435288,-121.375703
"ELK_GROVE","z95758",4,2,2056,"Residential",275000,38.411522,-121.481406
"ELK_GROVE","z95624",4,3,2494,"Residential",280000,38.404934,-121.352405
"FAIR_OAKS","z95628",3,2,1450,"Residential",286013,38.660322,-121.230101
"SACRAMENTO","z95834",4,2,2169,"Residential",292000,38.633028,-121.526755
"ROSEVILLE","z95747",3,2,1440,"Residential",292000,38.752399,-121.330328
"FAIR_OAKS","z95628",3,2,1527,"Residential",293993,38.664552,-121.255937
"ROSEVILLE","z95678",3,2,1401,"Residential",294000,38.776327,-121.284514
"SACRAMENTO","z95838",3,2,1411,"Residential",296769,38.65783,-121.456842
"LINCOLN","z95648",4,4,2990,"Residential",297500,38.864864,-121.313988
"GOLD_RIVER","z95670",2,2.5,1533,"Condo",300000,38.625289,-121.260286
"RIO_LINDA","z95673",3,1,1284,"Residential",300000,38.700553,-121.452223
"GALT","z95632",4,3,2307,"Residential",300000,38.272942,-121.289148
"PLACERVILLE","z95667",3,2,1329,"Residential",300000,38.694559,-120.848157
"SACRAMENTO","z95835",4,2,1910,"Residential",300500,38.677454,-121.494791
"GOLD_RIVER","z95670",3,2,1981,"Residential",305000,38.628732,-121.261149
"ROSEVILLE","z95747",3,2.5,1829,"Residential",306500,38.772771,-121.364877
"SACRAMENTO","z95835",3,2,1665,"Residential",312500,38.668692,-121.54549
"LINCOLN","z95648",5,3,3072,"Residential",315000,38.866409,-121.308485
"SACRAMENTO","z95823",4,2,2205,"Residential",319789,38.447353,-121.434969
"LINCOLN","z95648",2,2,1449,"Residential",330000,38.849924,-121.275729
"FOLSOM","z95630",3,2,1258,"Residential",330000,38.667834,-121.168578
"ELK_GROVE","z95757",3,2,2575,"Residential",331000,38.387014,-121.440967
"SACRAMENTO","z95820",2,1,539,"Residential",334000,38.542727,-121.442449
"RANCHO_CORDOVA","z95670",4,3,2208,"Residential",336000,38.573488,-121.282809
"SACRAMENTO","z95819",3,1,1108,"Residential",339000,38.563805,-121.436395
"FOLSOM","z95630",4,2,1595,"Residential",339000,38.652002,-121.129504
"GALT","z95632",4,2,2159,"Residential",345000,38.279581,-121.300828
"PLACERVILLE","z95667",4,3,2295,"Residential",350000,38.738141,-120.784145
"ROSEVILLE","z95678",3,2,1838,"Residential",356000,38.782094,-121.297133
"SACRAMENTO","z95823",4,2,1900,"Residential",361745,38.487409,-121.461413
"SACRAMENTO","z95811",4,2,1718,"Residential",361948,38.591822,-121.478644
"ELK_GROVE","z95757",5,3,3389,"Residential",370000,38.405224,-121.479275
"ROCKLIN","z95677",4,2,2190,"Residential",380000,38.778691,-121.204292
"ELK_GROVE","z95757",5,4,3260,"Residential",385000,38.405527,-121.431746
"CAMERON_PARK","z95682",3,2,2016,"Residential",399000,38.664225,-121.007173
"ROCKLIN","z95765",4,2,2607,"Residential",402000,38.805749,-121.280931
"ELK_GROVE","z95757",4,3,2724,"Residential",406026,38.390465,-121.443479
"GALT","z95632",5,4,3746,"Residential",420000,38.271646,-121.286848
"RANCHO_CORDOVA","z95742",5,4,3969,"Residential",425000,38.527502,-121.233492
"RANCHO_MURIETA","z95683",4,2,3192,"Residential",425000,38.512602,-121.087233
"SACRAMENTO","z95834",3,3,2829,"Residential",433500,38.650221,-121.551704
