"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Class"
"0",-3.639,-0.67,1.779,-0.168,1.627,-0.388,0.529,-0.874,-0.814,"hid"
"0",-3.327,-0.694,1.365,-0.265,1.933,-0.363,0.51,-0.621,-0.488,"hId"
"0",-2.12,-1.576,0.147,-0.707,1.559,-0.579,0.676,-0.809,-0.049,"hEd"
"0",-2.287,-1.498,1.012,-1.053,1.06,-0.567,0.235,-0.091,-0.795,"hAd"
"0",-2.598,-0.846,1.062,-1.633,0.764,0.394,-0.15,0.277,-0.396,"hYd"
"0",-2.852,-0.755,0.825,-1.588,0.855,0.217,-0.246,0.238,-0.365,"had"
"0",-3.482,-0.433,1.048,-1.995,0.902,0.322,0.45,0.377,-0.366,"hOd"
"0",-3.941,0.124,1.771,-1.815,0.593,-0.435,0.992,0.575,-0.301,"hod"
"0",-3.86,-0.939,0.688,-0.675,1.679,-0.512,0.928,-0.167,-0.434,"hUd"
"0",-3.648,-1.378,1.578,0.065,1.577,-0.466,0.702,0.06,-0.836,"hud"
"0",-3.032,-1.141,0.737,-0.834,1.386,-0.575,0.679,-0.018,-0.823,"hed"
"0",-3.653,-0.6,1.705,-0.222,1.765,-0.353,0.537,-0.797,-0.813,"hid"
"0",-3.237,-0.86,1.363,-0.251,1.915,-0.395,0.751,-0.774,-0.327,"hId"
"0",-2.135,-1.632,0.121,-0.704,1.6,-0.628,0.713,-0.903,-0.027,"hEd"
"0",-2.304,-1.506,0.981,-0.961,0.806,-0.294,-0.002,0.119,-0.76,"hAd"
"0",-2.54,-1.024,0.933,-1.567,1.024,0.188,-0.047,0.309,-0.633,"hYd"
"0",-2.826,-0.738,0.801,-1.669,0.939,0.245,-0.257,0.256,-0.458,"had"
"0",-3.582,-0.358,1.162,-1.953,0.621,0.339,0.355,0.415,-0.259,"hOd"
"0",-3.951,0.127,1.772,-1.906,0.567,-0.432,1.045,0.598,-0.293,"hod"
"0",-3.783,-1.2,0.606,-0.65,1.504,-0.134,0.528,0.392,-0.58,"hUd"
"0",-3.673,-1.405,1.621,0.044,1.572,-0.453,0.745,-0.066,-0.733,"hud"
"0",-2.946,-1.167,0.788,-0.909,1.3,-0.562,0.902,-0.07,-0.842,"hed"
"0",-3.665,-0.641,1.791,-0.194,1.686,-0.359,0.57,-0.676,-0.841,"hid"
"0",-3.165,-0.971,1.207,-0.298,1.921,-0.215,0.723,-0.492,-0.425,"hId"
"0",-2.105,-1.705,0.231,-0.558,1.554,-0.649,0.71,-0.855,-0.151,"hEd"
"0",-2.312,-1.51,1.019,-0.99,0.941,-0.488,0.208,0.033,-0.847,"hAd"
"0",-2.635,-1.129,0.911,-1.407,1.095,-0.071,0.118,0.139,-0.685,"hYd"
"0",-2.887,-0.83,0.682,-1.557,0.818,0.448,-0.382,0.207,-0.402,"had"
"0",-3.635,-0.394,1.012,-1.693,0.117,0.665,0.281,0.343,-0.003,"hOd"
"0",-3.986,0.102,1.633,-2.014,0.576,-0.344,1.003,0.566,-0.245,"hod"
"0",-3.712,-1.171,0.647,-0.767,1.698,-0.347,0.92,0.159,-0.359,"hUd"
"0",-3.74,-1.384,1.587,0.049,1.642,-0.516,0.707,-0.169,-0.522,"hud"
"0",-2.859,-1.14,0.769,-0.948,1.39,-0.608,0.956,-0.204,-0.727,"hed"
"0",-3.624,-0.708,1.758,-0.194,1.675,-0.273,0.561,-0.577,-0.843,"hid"
"0",-3.062,-1.071,1.061,-0.355,1.99,-0.21,0.796,-0.358,-0.299,"hId"
"0",-2.081,-1.778,0.411,-0.518,1.46,-0.576,0.735,-0.866,-0.172,"hEd"
"0",-2.289,-1.616,0.987,-0.876,1.044,-0.549,0.196,-0.07,-0.814,"hAd"
"0",-2.724,-1.142,0.923,-1.157,1.17,-0.276,0.172,-0.008,-0.649,"hYd"
"0",-3.015,-0.899,0.574,-1.331,0.546,0.61,-0.452,0.035,-0.156,"had"
"0",-3.559,-0.445,1.053,-1.765,0.349,0.546,0.321,0.443,-0.118,"hOd"
"0",-4.074,0.152,1.556,-1.613,-0.047,0.222,0.252,0.775,0.125,"hod"
"0",-3.618,-1.14,0.699,-0.741,1.633,-0.387,1.086,0.235,-0.388,"hUd"
"0",-3.687,-1.593,1.603,0.123,1.424,-0.225,0.441,0.206,-0.714,"hud"
"0",-2.69,-1.261,0.674,-0.964,1.449,-0.593,1.005,-0.303,-0.541,"hed"
"0",-3.593,-0.782,1.707,-0.175,1.662,-0.137,0.493,-0.492,-0.926,"hid"
"0",-3.046,-1.165,0.94,-0.386,1.978,-0.186,0.811,-0.394,-0.198,"hId"
"0",-2.255,-1.723,0.454,-0.524,1.453,-0.614,0.761,-0.885,-0.118,"hEd"
"0",-2.299,-1.695,1.065,-0.861,1.047,-0.607,0.313,-0.253,-0.759,"hAd"
"0",-2.911,-1.131,0.899,-0.911,1.111,-0.208,-0.047,-0.029,-0.539,"hYd"
"0",-3.089,-0.973,0.463,-1.169,0.543,0.598,-0.45,-0.08,-0.039,"had"
"0",-3.459,-0.595,0.937,-1.841,0.6,0.457,0.4,0.473,-0.211,"hOd"
"0",-4.208,0.049,1.331,-2.088,0.585,-0.05,0.82,0.606,-0.302,"hod"
"0",-3.543,-1.22,0.699,-0.769,1.579,-0.379,1.158,0.181,-0.178,"hUd"
"0",-3.684,-1.728,1.611,0.1,1.393,-0.193,0.554,0.245,-0.919,"hud"
"0",-2.596,-1.249,0.656,-1.095,1.292,-0.55,1.006,-0.15,-0.553,"hed"
"0",-3.604,-0.836,1.786,-0.153,1.642,-0.096,0.488,-0.524,-1.003,"hid"
"0",-3.171,-1.128,0.911,-0.388,2.014,-0.212,0.707,-0.551,-0.187,"hId"
"0",-2.302,-1.646,0.455,-0.488,1.491,-0.617,0.819,-0.887,-0.08,"hEd"
"0",-2.368,-1.556,1.162,-0.819,0.941,-0.572,0.345,-0.279,-0.736,"hAd"
"0",-3.141,-1.131,0.941,-0.759,1.224,-0.354,0.016,-0.218,-0.568,"hYd"
"0",-3.065,-1.002,0.496,-1.295,0.86,0.327,-0.404,0.067,-0.155,"had"
"0",-3.473,-0.82,0.706,-1.71,0.779,0.422,0.351,0.426,-0.267,"hOd"
"0",-4.238,0.036,1.158,-2.127,0.554,0.12,0.823,0.565,-0.293,"hod"
"0",-3.546,-1.227,0.823,-0.702,1.734,-0.397,1.333,-0.277,0.013,"hUd"
"0",-3.869,-1.646,1.612,0.044,1.531,-0.493,0.862,-0.106,-1.001,"hud"
"0",-2.666,-1.198,0.741,-1.066,1.24,-0.574,0.965,-0.13,-0.711,"hed"
"1",-4.102,0.414,0.423,0.985,1.434,0.663,0.036,-0.784,-0.668,"hid"
"1",-1.372,-1.003,-0.388,-0.471,1.141,0.654,0.823,0.558,0.043,"hId"
"1",-1.816,-0.947,-0.341,0.085,0.75,0.144,0.462,-0.24,-0.266,"hEd"
"1",-1.954,-1.593,0.37,-0.136,0.022,0.034,0.321,-0.19,-0.491,"hAd"
"1",-2.654,-0.008,0.07,-1.063,0.304,-0.105,0.281,0.488,-0.382,"hYd"
"1",-2.321,0.32,-0.085,-0.278,0.001,-0.094,-0.283,0.852,0.022,"had"
"1",-3.141,-0.996,-0.394,-0.19,-0.312,0.137,0.631,0.547,-0.247,"hOd"
"1",-3.941,0.486,-0.506,-1.12,0.101,0.297,0.711,-0.078,0.648,"hod"
"1",-4.161,0.157,0.336,-0.968,0.641,0.088,0.237,0.565,0.823,"hUd"
"1",-4.52,-0.088,0.513,-0.528,1.246,0.198,0.242,0.161,0.769,"hud"
"1",-3.088,0.048,-0.216,-0.329,0.91,0.045,-0.075,0.101,-0.134,"hed"
"1",-4.275,0.728,0.662,0.94,1.269,0.711,0.073,-0.827,-0.655,"hid"
"1",-1.657,-1.044,-0.32,-0.316,1.321,0.638,0.8,0.298,-0.159,"hId"
"1",-1.709,-0.953,-0.346,0.02,0.786,0.145,0.564,-0.229,-0.322,"hEd"
"1",-1.952,-1.375,0.105,-0.154,0.17,-0.047,0.336,-0.098,-0.41,"hAd"
"1",-2.67,-0.231,-0.028,-1.014,0.486,-0.137,0.448,0.285,-0.482,"hYd"
"1",-2.441,0.386,-0.335,-0.187,-0.079,0,-0.175,0.792,-0.026,"had"
"1",-3.146,-0.683,-0.032,-0.693,-0.06,-0.267,0.476,0.982,-0.352,"hOd"
"1",-3.902,0.334,-0.669,-1.087,0.255,0.461,0.812,-0.185,0.535,"hod"
"1",-4.267,0.172,0.028,-0.827,0.532,0.099,0.326,0.34,0.696,"hUd"
"1",-4.65,0.013,0.681,-0.8,1.434,0.126,0.036,0.382,0.278,"hud"
"1",-3.03,0.314,-0.121,-0.591,0.965,0.353,-0.137,-0.221,0.075,"hed"
"1",-4.473,0.858,0.919,0.778,1.272,0.653,-0.216,-0.891,-0.627,"hid"
"1",-1.856,-1.011,-0.238,-0.152,1.461,0.572,0.775,0.154,-0.31,"hId"
"1",-1.976,-0.947,-0.25,-0.065,0.949,0.127,0.478,-0.323,-0.345,"hEd"
"1",-1.914,-1.342,-0.013,-0.213,0.253,0.005,0.229,-0.009,-0.445,"hAd"
"1",-2.7,-0.389,0.032,-0.958,0.44,-0.168,0.519,0.169,-0.525,"hYd"
"1",-2.554,0.42,-0.022,-0.645,0.02,0.145,-0.327,0.66,0.073,"had"
"1",-3.054,-0.513,-0.085,-0.952,0.299,-0.269,0.459,0.892,-0.308,"hOd"
"1",-3.84,0.121,-0.656,-1.066,0.329,0.734,0.875,-0.295,0.418,"hod"
"1",-4.323,0.385,0.209,-1.096,0.431,0.119,0.268,0.131,0.654,"hUd"
"1",-4.676,0.075,0.73,-0.933,1.493,0.049,0.076,0.254,0.276,"hud"
"1",-2.922,-0.002,-0.353,-0.464,1.184,0.383,-0.175,-0.346,-0.033,"hed"
"1",-4.477,1.087,1.108,0.682,1.057,0.424,-0.264,-1.195,-0.52,"hid"
"1",-1.895,-0.97,-0.152,-0.161,1.509,0.487,0.809,0.044,-0.264,"hId"
"1",-1.945,-1.053,-0.228,-0.12,0.927,0.088,0.509,-0.279,-0.246,"hEd"
"1",-1.912,-1.455,-0.017,-0.118,0.27,-0.037,0.163,-0.027,-0.474,"hAd"
"1",-2.724,-0.56,-0.077,-0.944,0.548,-0.08,0.4,0.144,-0.63,"hYd"
"1",-2.385,0.272,-0.04,-0.692,0.16,-0.061,-0.189,0.744,0.088,"had"
"1",-3.092,-0.307,-0.016,-0.956,0.195,-0.227,0.367,0.958,-0.092,"hOd"
"1",-3.917,0.409,-0.531,-1.15,0.017,0.605,0.977,-0.328,0.447,"hod"
"1",-4.232,0.428,0.497,-1.374,0.549,0.133,0.232,0.129,0.487,"hUd"
"1",-4.759,0.104,0.697,-0.787,1.114,0.205,-0.066,0.369,0.306,"hud"
"1",-2.945,-0.312,-0.239,-0.447,1.36,0.014,-0.102,0.021,-0.564,"hed"
"1",-4.314,1.044,1.192,0.687,0.763,0.158,-0.193,-1.342,-0.447,"hid"
"1",-2.05,-0.938,-0.037,0.082,1.561,0.393,0.835,-0.029,-0.394,"hId"
"1",-1.804,-1,-0.427,-0.094,0.848,0.084,0.636,-0.275,-0.214,"hEd"
"1",-1.978,-1.487,-0.096,-0.025,0.32,-0.063,0.097,-0.073,-0.381,"hAd"
"1",-2.748,-0.976,-0.213,-0.792,0.771,-0.032,0.223,0.043,-0.825,"hYd"
"1",-2.351,0.086,-0.075,-0.426,0.125,-0.197,0.033,0.848,-0.038,"had"
"1",-3.105,-0.207,0.031,-0.897,0.021,-0.229,0.256,1.073,-0.065,"hOd"
"1",-3.985,0.584,-0.42,-1.105,-0.174,0.348,0.885,-0.165,0.65,"hod"
"1",-4.16,0.275,0.394,-1.287,0.693,0.483,0.121,0.286,0.153,"hUd"
"1",-4.88,0.06,0.434,-0.575,0.897,0.25,0.085,0.093,0.445,"hud"
"1",-3.082,-0.118,-0.147,-0.484,1.176,-0.086,-0.072,0.086,-0.564,"hed"
"1",-4.158,0.9,1.09,0.56,0.955,0.395,-0.328,-1.52,-0.498,"hid"
"1",-2.441,-0.814,0.255,0.411,1.636,0.395,0.761,-0.005,-0.564,"hId"
"1",-1.672,-0.833,-0.577,-0.363,0.84,0.18,0.682,-0.124,-0.109,"hEd"
"1",-2.051,-1.641,-0.058,-0.102,0.346,-0.021,0.109,-0.147,-0.298,"hAd"
"1",-2.788,-1.142,-0.313,-0.58,0.357,0.281,0.082,0.109,-0.858,"hYd"
"1",-2.489,-0.18,-0.152,-0.353,0.133,-0.186,0.207,0.788,-0.285,"had"
"1",-3.065,-0.461,-0.221,-0.759,-0.045,0.068,0.274,0.999,-0.331,"hOd"
"1",-3.963,0.466,-0.564,-1.042,-0.064,0.241,0.888,-0.032,0.798,"hod"
"1",-4.136,-0.407,-0.038,-0.687,1.031,0.491,0.157,0.305,0.028,"hUd"
"1",-4.944,0.015,0.079,-0.593,1.047,0.337,0.296,-0.453,0.371,"hud"
"1",-3.058,-0.351,-0.255,0.038,0.692,-0.173,0.226,0.202,-0.593,"hed"
"2",-1.202,-2.487,0.809,-0.367,2.169,0.32,1.034,-1.385,-0.706,"hid"
"2",-1.077,-2.006,0.305,-0.584,1.962,0.089,1.406,-0.669,-0.027,"hId"
"2",-1.768,-1.468,1.077,-0.347,1.704,-0.171,1.076,-0.691,-0.06,"hEd"
"2",-1.737,-1.046,1.071,-0.775,1.041,-0.025,0.925,-0.452,0.007,"hAd"
"2",-2.432,-0.218,1.422,-1.169,0.41,-0.393,1.326,-0.067,0.225,"hYd"
"2",-2.125,-0.415,1.458,-0.985,0.52,-0.344,1.249,-0.37,0.145,"had"
"2",-2.607,-0.088,1.586,-1.477,0.164,-0.527,1.551,0.033,0.522,"hOd"
"2",-3.813,-0.157,1.561,-1.503,-0.366,-0.581,1.412,0.29,-0.099,"hod"
"2",-3.05,-0.686,1.543,-1.149,-0.043,0.297,0.727,0.598,0.458,"hUd"
"2",-3.972,-0.62,0.954,-1.09,0.719,0.717,0.3,1.309,0.171,"hud"
"2",-2.979,-0.87,1.427,-0.93,1.323,-0.212,1.286,-0.135,-0.496,"hed"
"2",-1.298,-2.433,0.955,-0.278,2.252,0.285,0.915,-1.569,-0.562,"hid"
"2",-1.012,-2.041,0.32,-0.634,1.969,0.041,1.414,-0.687,0.047,"hId"
"2",-1.501,-1.619,0.92,-0.488,1.616,-0.161,1.127,-0.613,-0.051,"hEd"
"2",-1.674,-1.04,1.136,-0.869,1.036,-0.157,0.946,-0.361,0.02,"hAd"
"2",-2.308,-0.203,1.493,-1.223,0.379,-0.481,1.403,-0.045,0.402,"hYd"
"2",-2.155,-0.393,1.354,-1.045,0.646,-0.246,1.279,-0.396,0.177,"had"
"2",-2.652,-0.053,1.694,-1.258,0.062,-0.61,1.397,0.133,0.602,"hOd"
"2",-3.834,-0.183,1.518,-1.585,-0.281,-0.334,1.191,0.425,-0.104,"hod"
"2",-3.33,-0.552,2.023,-0.845,0.016,0.049,0.512,0.396,0.386,"hUd"
"2",-4.17,-0.389,1.211,-1.011,0.57,0.543,0.218,1.206,0.044,"hud"
"2",-2.867,-0.817,1.595,-0.883,1.143,-0.427,1.159,0.17,-0.456,"hed"
"2",-1.393,-2.29,1.1,-0.254,2.327,0.363,0.795,-1.521,-0.756,"hid"
"2",-0.941,-2.02,0.314,-0.679,1.897,0.028,1.504,-0.632,0.111,"hId"
"2",-1.332,-1.665,0.97,-0.463,1.522,-0.159,1.101,-0.541,-0.05,"hEd"
"2",-1.57,-1.04,1.16,-0.923,0.961,-0.231,0.955,-0.273,0.065,"hAd"
"2",-2.227,-0.156,1.554,-1.19,0.332,-0.548,1.362,-0.013,0.369,"hYd"
"2",-2.043,-0.435,1.341,-1.049,0.558,-0.237,1.237,-0.283,0.306,"had"
"2",-2.679,-0.09,2.003,-1.009,0.038,-0.822,1.232,0.128,0.72,"hOd"
"2",-3.836,-0.225,1.52,-1.729,-0.184,0.064,0.97,0.5,-0.13,"hod"
"2",-3.478,-0.557,2.191,-1.043,0.339,-0.004,0.587,0.45,0.006,"hUd"
"2",-4.333,-0.219,1.372,-0.761,0.306,0.594,-0.022,1.103,0.19,"hud"
"2",-2.704,-0.908,1.57,-0.84,1.044,-0.399,0.951,0.345,-0.695,"hed"
"2",-1.417,-2.254,1.072,-0.221,2.268,0.43,0.923,-1.486,-0.698,"hid"
"2",-0.961,-1.951,0.364,-0.68,1.895,0.047,1.539,-0.63,0.094,"hId"
"2",-1.22,-1.674,0.94,-0.425,1.463,-0.063,1.135,-0.422,0.06,"hEd"
"2",-1.501,-1.003,1.156,-0.883,0.901,-0.169,0.862,-0.151,0.164,"hAd"
"2",-2.176,-0.144,1.659,-1.128,0.28,-0.658,1.346,0.008,0.505,"hYd"
"2",-1.891,-0.518,1.461,-1.05,0.567,-0.307,1.152,-0.239,0.325,"had"
"2",-2.624,-0.156,2.023,-1.052,0.086,-0.752,1.341,0.196,0.71,"hOd"
"2",-3.763,-0.262,1.52,-1.684,-0.225,0.235,0.989,0.616,0.046,"hod"
"2",-3.549,-0.509,1.963,-1.2,0.847,-0.157,0.842,0.625,-0.586,"hUd"
"2",-4.373,-0.171,1.501,-0.639,0.292,0.518,-0.114,1.127,0.332,"hud"
"2",-2.562,-0.94,1.333,-1.047,1.208,-0.316,1.055,0.354,-0.77,"hed"
"2",-1.384,-2.266,0.937,-0.289,2.29,0.463,1.096,-1.436,-0.701,"hid"
"2",-1.123,-1.954,0.563,-0.465,1.983,0.027,1.614,-0.568,0.007,"hId"
"2",-1.28,-1.647,0.968,-0.418,1.609,-0.031,1.224,-0.374,0.044,"hEd"
"2",-1.475,-1.009,1.202,-0.846,0.883,-0.138,0.822,-0.165,0.198,"hAd"
"2",-2.205,-0.199,1.773,-1.089,0.312,-0.621,1.247,0.137,0.406,"hYd"
"2",-1.824,-0.669,1.483,-1.036,0.711,-0.249,1.193,-0.274,0.224,"had"
"2",-2.574,-0.167,1.826,-1.156,0.12,-0.609,1.543,0.11,0.75,"hOd"
"2",-3.693,-0.273,1.619,-1.905,0.045,0.006,1.347,0.346,0.36,"hod"
"2",-3.545,-0.512,1.732,-1.109,1.006,0.021,0.82,0.731,-0.639,"hUd"
"2",-4.386,-0.157,1.536,-0.614,0.23,0.57,-0.117,1.074,0.397,"hud"
"2",-2.53,-0.936,1.21,-1.154,1.316,-0.267,1.149,0.226,-0.77,"hed"
"2",-1.215,-2.423,0.834,-0.379,2.266,0.503,1.337,-1.36,-0.682,"hid"
"2",-1.4,-1.894,0.83,-0.242,2.038,0.003,1.667,-0.515,-0.087,"hId"
"2",-1.494,-1.58,1.191,-0.252,1.777,-0.072,1.189,-0.409,0.09,"hEd"
"2",-1.512,-1.053,1.262,-0.809,0.941,-0.122,0.807,-0.206,0.145,"hAd"
"2",-2.274,-0.226,1.857,-0.971,0.327,-0.605,1.121,0.121,0.291,"hYd"
"2",-1.804,-0.803,1.388,-0.989,0.751,-0.029,0.963,-0.228,0.297,"had"
"2",-2.447,-0.208,1.641,-1.159,0.104,-0.539,1.58,0.058,0.786,"hOd"
"2",-3.675,-0.241,1.587,-1.75,-0.222,0.039,1.052,0.545,0.233,"hod"
"2",-3.425,-0.638,1.573,-1.041,1.204,-0.124,1.258,0.548,-0.507,"hUd"
"2",-4.376,-0.269,1.32,-0.66,0.159,0.719,0.008,1.058,0.472,"hud"
"2",-2.52,-0.959,1.296,-1.103,1.149,-0.268,1.249,0.092,-0.682,"hed"
"3",-1.548,-1.659,0.244,-0.101,1.562,0.551,1.248,0.129,-0.456,"hid"
"3",-1.614,-1.195,-0.252,-0.257,1.251,0.281,0.898,0.188,-0.423,"hId"
"3",-1.891,-1.06,0.119,0.59,0.263,0.372,0.39,-0.376,-0.655,"hEd"
"3",-2.03,-0.386,-0.249,0.18,0.117,0.096,-0.121,0.067,-0.552,"hAd"
"3",-2.55,0.084,-0.159,-0.882,0.093,-0.19,0.961,0.032,-0.589,"hYd"
"3",-2.464,0.026,0.078,-0.542,0.074,0.051,0.596,0.26,-0.437,"had"
"3",-3.193,0.83,0.813,-1.205,0.036,-0.95,0.786,1.045,0.21,"hOd"
"3",-3.566,0.94,1.829,-1.224,0.178,-1.454,0.92,0.767,1.059,"hod"
"3",-3.299,0.187,0.121,-1.251,0.796,-0.366,1.091,0.493,0.436,"hUd"
"3",-3.601,-0.238,0.332,-0.561,1.275,-0.014,0.844,0.558,0.659,"hud"
"3",-2.439,0.082,0.242,-0.693,0.595,-0.353,0.702,0.413,0.098,"hed"
"3",-1.507,-1.728,0.256,-0.081,1.571,0.556,1.291,0.121,-0.456,"hid"
"3",-1.425,-1.13,-0.284,-0.394,1.253,0.306,0.893,0.272,-0.378,"hId"
"3",-1.814,-0.931,0.12,0.425,0.554,0.237,0.426,-0.184,-0.727,"hEd"
"3",-2.007,-0.581,-0.027,0.127,0.081,0.089,-0.016,0.115,-0.719,"hAd"
"3",-2.559,0.408,-0.001,-1.077,0.125,-0.254,0.975,0.07,-0.47,"hYd"
"3",-2.431,0.208,0.123,-0.634,0.178,0.04,0.612,0.446,-0.562,"had"
"3",-3.24,0.959,1.071,-1.188,0.018,-1.024,0.664,1.007,0.443,"hOd"
"3",-3.565,0.958,1.976,-1.268,0.091,-1.363,0.72,0.738,1.145,"hod"
"3",-3.198,0.392,0.423,-1.203,0.656,-0.428,0.994,0.576,0.865,"hUd"
"3",-3.772,-0.195,0.317,-0.473,1.31,-0.043,0.898,0.536,0.503,"hud"
"3",-2.434,0.127,0.224,-0.811,0.666,-0.233,0.705,0.408,0.136,"hed"
"3",-1.656,-1.719,0.363,-0.002,1.637,0.535,1.319,-0.012,-0.49,"hid"
"3",-1.388,-1.105,-0.295,-0.39,1.282,0.356,0.816,0.292,-0.376,"hId"
"3",-1.764,-1.001,0.197,0.3,0.66,0.159,0.557,-0.301,-0.65,"hEd"
"3",-2.026,-0.526,-0.131,0.266,-0.055,0.084,0.063,0.047,-0.691,"hAd"
"3",-2.531,0.739,0.236,-1.169,-0.069,-0.349,0.903,0.123,-0.119,"hYd"
"3",-2.375,0.308,0.255,-0.82,0.225,-0.092,0.874,0.367,-0.525,"had"
"3",-3.179,0.988,1.32,-0.852,-0.008,-1.234,0.347,1.02,0.771,"hOd"
"3",-3.57,0.97,1.957,-1.262,0.002,-1.275,0.585,0.754,0.993,"hod"
"3",-3.169,0.509,0.693,-1.185,0.673,-0.352,0.877,0.434,1.009,"hUd"
"3",-4.066,-0.049,0.458,-0.357,1.331,-0.129,0.848,0.509,0.317,"hud"
"3",-2.483,0.185,0.284,-0.917,0.73,-0.111,0.613,0.373,0.184,"hed"
"3",-1.823,-1.624,0.52,0.052,1.711,0.535,1.318,-0.115,-0.505,"hid"
"3",-1.45,-1.127,-0.281,-0.372,1.287,0.369,0.855,0.303,-0.385,"hId"
"3",-1.79,-1.041,0.214,0.215,0.694,0.121,0.583,-0.403,-0.487,"hEd"
"3",-2.089,-0.528,-0.232,0.385,-0.137,0.033,0.071,0.033,-0.744,"hAd"
"3",-2.475,0.864,0.397,-1.17,-0.234,-0.388,0.825,0.16,0.057,"hYd"
"3",-2.314,0.294,0.245,-0.769,0.05,-0.068,0.819,0.618,-0.572,"had"
"3",-3.062,0.935,1.443,-0.579,0.068,-1.333,0.106,0.958,0.979,"hOd"
"3",-3.576,0.912,1.878,-1.166,0.039,-1.537,0.658,0.843,1.087,"hod"
"3",-3.155,0.455,0.624,-1.306,0.842,-0.123,0.909,0.328,0.876,"hUd"
"3",-4.316,0.088,0.593,-0.314,1.316,-0.255,0.761,0.492,0.133,"hud"
"3",-2.608,0.203,0.305,-0.851,0.78,-0.143,0.607,0.344,0.106,"hed"
"3",-1.953,-1.543,0.619,0.056,1.742,0.592,1.289,-0.163,-0.523,"hid"
"3",-1.495,-1.134,-0.249,-0.37,1.286,0.348,0.854,0.313,-0.376,"hId"
"3",-1.921,-0.95,0.299,0.222,0.786,0.128,0.588,-0.462,-0.491,"hEd"
"3",-2.052,-0.488,0.041,-0.131,0.273,-0.112,-0.064,0.307,-0.8,"hAd"
"3",-2.507,0.852,0.331,-1.231,-0.259,-0.265,0.856,0.07,0.069,"hYd"
"3",-2.291,0.352,0.354,-0.714,0.08,-0.181,0.787,0.709,-0.409,"had"
