month,cafes_restaurants_and_catering_services,cafes_restaurants_and_takeaway_food_services,clothing_retailing,clothing_footwear_and_personal_accessory_retailing,department_stores,electrical_and_electronic_goods_retailing,food_retailing,footwear_and_other_personal_accessory_retailing,furniture_floor_coverings_houseware_and_textile_goods_retailing,hardware_building_and_garden_supplies_retailing,household_goods_retailing,liquor_retailing,newspaper_and_book_retailing,other_recreational_goods_retailing,other_retailing,other_retailing_n.e.c.,other_specialised_food_retailing,pharmaceutical_cosmetic_and_toiletry_goods_retailing,supermarket_and_grocery_stores,takeaway_food_services
01-04-1982,4.4,7.6,3.7,5.9,10.3,4.4,15.5,2.2,2.7,2.6,9.7,1.2,2.3,1.1,8.1,2.2,1.6,2.5,12.7,3.2
01-05-1982,3.4,6.7,3.8,5.9,10.6,4.9,15.1,2.1,3,3.3,11.1,1.4,2.5,1,8,2,1.6,2.5,12.1,3.3
01-06-1982,3.6,7.1,3.2,5.1,9.9,4.8,15.5,2,2.5,2.7,9.9,1.3,2.3,1,7.8,2,1.7,2.5,12.5,3.5
01-07-1982,4,7.5,3.4,5.4,8.8,5.1,16.1,2.1,2.8,2.4,10.2,1.4,2.6,1.1,8.3,2,1.6,2.6,13.2,3.5
01-08-1982,3.6,7.3,3.1,5,8.8,4.6,15.8,2,2.8,2.7,10.1,1.6,2.6,0.9,8.4,2,1.6,2.8,12.7,3.7
01-09-1982,4.2,8.1,3.4,5.6,9.2,4.3,16,2.2,2.6,3.1,10,1.4,2.6,1,8.6,2.2,1.8,2.8,12.9,3.9
01-10-1982,4.8,8.9,3.4,5.8,9.7,4.7,16.6,2.3,3.7,3.5,11.9,1.5,2.7,1.2,9,2.5,1.7,2.6,13.5,4
01-11-1982,5.4,9.6,3.6,6.2,11.3,5.1,17.2,2.6,3.9,4.6,13.6,1.5,3,1.3,10.3,2.9,1.7,3.1,14.1,4.3
01-12-1982,6.9,11.2,4.7,8.2,18.5,8,20,3.5,4.2,7.4,19.7,1.6,4.9,1.8,14.6,4.1,1.9,3.9,16.5,4.3
01-01-1983,3.8,7.7,2.7,4.6,7.4,4.3,14.6,1.9,3,3.3,10.6,1,2.5,1,8.1,2.1,1.6,2.5,12,3.9
01-02-1983,4.2,8.2,2.7,4.6,8,4.4,15.5,1.9,3.3,2.6,10.3,1.1,3,1,8.6,2.1,1.6,2.5,12.8,3.9
01-03-1983,4,8.5,3.8,6.3,10.6,5.3,16.7,2.5,3.6,3.1,12,1.1,3.1,1.1,9.1,2.2,1.8,2.6,13.8,4.4
01-04-1983,4.4,8.2,4.7,7.4,11.7,4,17.2,2.7,3.4,3.1,10.6,1.3,2.6,1.1,8.2,2.3,1.7,2.2,14.3,3.7
01-05-1983,4.3,9.3,4.6,7.3,11.5,4.8,17.3,2.8,3.7,3.1,11.6,1.4,2.8,1.1,8.5,2.3,1.8,2.3,14.1,5
01-06-1983,4.3,9.9,3.9,6.2,10.1,4.3,17.6,2.3,3.4,2.6,10.3,1.4,2.8,1,8.2,2.1,2,2.2,14.2,5.6
01-07-1983,4.6,10.8,4,6.5,10.4,4.2,17.2,2.5,3.8,2.8,10.8,1.5,3,1.1,8.7,2.3,2.1,2.3,13.6,6.3
01-08-1983,4.9,9.4,3.6,6,10,4.1,17.1,2.4,3.8,2.8,10.7,1.5,3.2,1.1,9.2,2.4,1.8,2.5,13.8,4.5
01-09-1983,4.5,10.9,3.6,6.1,10.3,4,17.1,2.5,3.8,3.1,10.9,1.5,3.2,1,8.9,2.4,2.1,2.3,13.5,6.4
01-10-1983,5.5,12.8,3.4,5.9,11.2,5,20.5,2.5,3.4,3.3,11.7,1.5,3.1,1.3,9.4,2.7,2.4,2.3,16.6,7.2
01-11-1983,6.7,13.8,3.7,6.5,12.6,5.5,21.1,2.8,4,3.6,13.1,1.5,3.3,1.5,10.8,3.2,2.4,2.8,17.3,7.1
01-12-1983,9.6,17.2,5,9,22.2,7,26.1,4,4.4,6.8,18.2,1.9,4.9,2,15.1,4.7,2.4,3.5,21.8,7.6
01-01-1984,3.8,10.2,3.4,5.5,7.9,3.9,17.3,2.1,3.5,3.2,10.6,1.4,2.8,0.9,7.9,2.1,1.9,2.1,13.9,6.4
01-02-1984,3.8,10.3,3.3,5.3,9.1,5.2,19.7,2,3.5,2.7,11.4,1.5,2.9,1,7.9,2.1,2,2,16.3,6.5
01-03-1984,4.4,11.2,4.4,6.9,10.9,5.8,19.9,2.5,4.2,2.7,12.7,1.5,3.1,1.2,8.8,2.3,2.1,2.2,16.4,6.9
01-04-1984,3.8,9.7,4.4,6.8,12.9,6.2,19.7,2.4,3.5,2.3,12,1.5,2.9,1.1,8,2.1,1.8,2,16.4,5.9
01-05-1984,3.9,10,4.8,7.4,13.8,8,19.5,2.6,3.8,2.7,14.5,1.6,3.1,1.3,8.7,2.2,2.2,2.1,15.8,6.1
01-06-1984,4.1,10.1,4.2,6.7,10.6,6.7,20.4,2.5,3.8,2.5,13.1,1.6,2.8,1.2,8.4,2.2,2.2,2.1,16.7,6
01-07-1984,4.3,10,4.5,7.1,11.9,5.7,19.8,2.5,4.1,3.4,13.2,1.5,2.9,1.1,8.5,2.3,2.1,2.2,16.2,5.8
01-08-1984,4.8,11.3,4.2,6.9,11.3,5.2,20.6,2.7,3.9,3.5,12.5,1.7,3,1.2,9.1,2.5,2.3,2.3,16.7,6.4
01-09-1984,5,11.1,3.3,5.7,11.5,4.3,19.5,2.5,4.5,3.8,12.6,1.6,3,1.1,9.1,2.6,2.3,2.3,15.6,6.1
01-10-1984,5.3,11,4.6,7.5,12.6,5.1,21.3,2.9,5.3,4.2,14.6,1.9,2.7,1.2,9.3,2.7,2.2,2.6,17.2,5.7
01-11-1984,5.6,11.4,4.8,7.8,13.6,5.5,21.4,3,5.5,4.9,16,1.9,3.2,1.4,10.5,3,2.2,3,17.3,5.8
01-12-1984,6.8,12.6,5.6,9.3,23.3,6.4,21.5,3.6,4.8,8.7,19.9,2.2,4,1.6,12.8,4.1,2.3,3.1,17,5.8
01-01-1985,4.6,9.7,3.3,5.7,10.6,5.7,20.3,2.3,4,4.2,13.8,1.6,2.4,1.2,8.7,2.5,2,2.7,16.6,5.1
01-02-1985,4.3,9,3.3,5.5,10,5.4,19.6,2.1,3.9,3.8,13.1,1.5,2.4,1.1,8.4,2.4,1.9,2.6,16.2,4.7
01-03-1985,4.3,8.9,4.1,6.5,11.5,6.5,21.3,2.4,4.3,3.4,14.2,1.8,2.8,1.2,8.9,2.4,2,2.6,17.4,4.6
01-04-1985,6,10.6,4.9,7.9,14,6.1,22.3,3,4.5,3.5,14.1,1.6,2.3,1.5,9.6,2.9,2,3,18.6,4.5
01-05-1985,5.8,10.1,5.6,8.8,15.7,7.6,23.1,3.2,5.1,4.2,16.9,1.9,2.7,1.6,10.5,3.1,2,3.2,19.2,4.3
01-06-1985,5.9,10,4.9,7.9,12.2,6.4,21.9,2.9,4.6,3.5,14.5,1.6,2.4,1.4,9.8,2.8,1.9,3.2,18.4,4.1
01-07-1985,6.4,11.9,5.2,8.2,13.7,7.5,24.4,3,4.8,3.9,16.1,1.6,2.6,1.6,11.1,3.2,2.2,3.7,20.6,5.5
01-08-1985,7,12.9,4.5,7.4,12.5,6.4,23.1,2.9,5,4.3,15.7,1.6,2.6,1.6,11.2,3.3,2.2,3.7,19.2,5.9
01-09-1985,6.7,12.4,4.4,7.3,12.2,6.4,23.2,2.8,5.1,4.3,15.8,1.5,2.7,1.6,11,3.2,2.2,3.5,19.5,5.7
01-10-1985,6.7,12,4.6,7.5,14.3,6.7,24.2,2.9,4.9,4.3,15.9,1.8,2.7,1.5,11,3.3,2.1,3.5,20.2,5.2
01-11-1985,6.8,12.2,4.6,7.6,15.3,6.6,24.5,3,5.4,5.7,17.7,1.9,2.8,1.6,11.5,3.6,2.1,3.5,20.4,5.4
01-12-1985,7.6,12.9,5.3,8.9,25.8,9.1,25.2,3.6,5.8,11.5,26.5,2.4,3.4,2,14.2,4.8,2.1,4,20.6,5.3
01-01-1986,7.9,13.1,4.4,7.5,13.4,5.2,23.6,3,4,4,13.1,1.8,2.6,1.6,10.9,3.5,2.1,3.2,19.6,5.2
01-02-1986,6.1,10.8,3.8,6.2,9.8,5.7,21.2,2.5,4.4,3.9,13.9,1.6,2.8,1.3,10.1,2.9,2,3,17.5,4.6
01-03-1986,9.3,14,3.9,7,12.3,5.2,24.4,3.1,4.2,3.7,13,2.1,3.6,1.7,12,4,2.1,2.7,20.1,4.7
01-04-1986,7,11.6,5.1,8.1,14,5.3,24.4,3,4.6,3.5,13.5,2.1,2.7,1.5,10.4,3.1,1.9,3.1,20.3,4.5
01-05-1986,7.5,11.9,5.9,9.3,18.8,6.6,25.5,3.4,5.5,4.3,16.4,2.2,2.7,1.7,10.9,3.5,1.9,3,21.4,4.4
01-06-1986,6.2,10.5,4.8,7.6,12.6,6.5,25.4,2.7,5.2,3.5,15.1,2.1,2.6,1.5,10,3,2,2.9,21.2,4.3
01-07-1986,9.8,15.1,5,8.4,15.2,7.4,26.3,3.4,5.5,3.7,16.7,1.8,3.3,2,12.6,4.2,2.3,3.1,22.2,5.3
01-08-1986,9.1,15,5,8.3,12.4,6.7,24.6,3.3,5.8,4,16.6,2.1,4.6,1.9,13.8,4.1,2.3,3.2,20.2,5.9
01-09-1986,9,14.5,4.7,7.9,14.2,7,25.6,3.3,5.8,4.4,17.2,1.9,3.3,1.9,12.3,4,2.3,3.1,21.4,5.5
01-10-1986,9.2,14.5,4.7,8.1,16.4,5.6,26.2,3.4,6.3,4.4,16.3,1.9,3,1.8,12.1,4,2.5,3.3,21.8,5.2
01-11-1986,9,14,4.7,8.1,15.4,5.4,26,3.4,6.3,4.9,16.6,1.8,3.2,1.8,12.2,4,2.3,3.2,21.8,5
01-12-1986,11.1,16.4,6.9,11.4,29.2,7.6,30.1,4.6,7.1,9.9,24.6,2.2,3.4,2.3,15.2,5.5,2.7,4,25.2,5.2
01-01-1987,8.2,13.1,4,7.1,12.2,4.9,27.1,3.1,5.1,3.6,13.5,1.8,2.8,1.6,10.8,3.4,2.1,2.9,23.1,4.9
01-02-1987,7.9,13.4,3.9,6.7,11.6,4.6,27,2.8,4.7,3.2,12.6,1.9,3.1,1.5,10.9,3.4,2.4,2.9,22.6,5.5
01-03-1987,9,13.9,5.1,8.4,13.9,5.3,27.6,3.3,5.8,3.6,14.7,2.1,4.7,1.8,13.6,3.8,2.2,3.2,23.2,4.9
01-04-1987,9.3,14.1,5,8.4,15.3,5.3,29.5,3.4,5.3,3.6,14.2,2.1,4.1,1.8,12.8,3.9,2.4,3,25,4.8
01-05-1987,9,14.5,5.6,9.2,16.5,5.6,28.9,3.6,5.7,4.3,15.7,2.1,3.9,1.8,12.8,4,2.5,3.2,24.3,5.4
01-06-1987,8.9,14.8,5,8.3,15.2,5.6,28.4,3.3,5.9,3.3,14.8,1.8,4.1,1.8,12.7,3.8,2.5,3,24.1,5.9
01-07-1987,8.7,14.8,5.6,9,16.5,6.5,29.8,3.4,6.6,3.6,16.7,2.2,4.4,1.8,13.3,3.9,2.8,3.3,24.8,6.1
01-08-1987,8.6,14.2,4.8,7.8,12.4,6.5,28.5,3,6,3.6,16.1,2.4,4.4,1.8,13.3,3.8,2.6,3.3,23.5,5.6
01-09-1987,9.1,15.2,5,8.3,13.6,6.1,30,3.4,6.1,4,16.2,2.6,4.8,1.8,13.9,4,2.8,3.3,24.6,6.1
01-10-1987,10.8,16.8,5.8,9.5,14.1,5.7,30.2,3.7,6.3,4.9,16.9,1.9,4.9,2,14.7,4.5,2.5,3.3,25.7,6.1
01-11-1987,9.4,15.6,5.1,8.6,19.1,4.5,30.9,3.5,6.6,5,16.2,2.6,4.7,1.7,13.8,4.1,2.6,3.3,25.7,6.2
01-12-1987,12.6,19.1,8,12.8,33.6,6.8,35.1,4.8,7,9.7,23.6,3,7.3,2.4,19.5,6.1,2.9,3.6,29.1,6.5
01-01-1988,8.6,14.5,4.9,8.2,13.2,3.6,28.9,3.3,5.1,4.3,13,2.2,3.7,1.5,11.6,3.7,2.5,2.7,24.2,5.9
01-02-1988,8.7,14,6,9.4,13.5,4.3,29,3.4,5.9,4.3,14.5,2.5,4.8,1.6,13,3.8,2.4,2.7,24,5.3
01-03-1988,9.5,15.1,6,9.6,14.8,4.4,30.2,3.6,6.6,4.7,15.7,2.6,6.7,1.7,15.8,4.3,2.5,3.2,25.2,5.5
01-04-1988,9.6,15.1,6.1,9.8,16.6,4.4,30.1,3.7,5.9,4.3,14.7,2.4,5.1,1.7,14,4.1,2.5,3.1,25.2,5.5
01-05-1988,9,15.1,6.7,10.5,16.9,5,29.5,3.8,6.9,4.7,16.5,2.2,5.6,1.7,14.6,4,2.6,3.3,24.7,6.1
01-06-1988,10.2,15.5,6.6,10,15.2,7.4,29.3,3.4,6.9,4.6,18.9,2.1,5,1.9,13.9,3.8,2.5,3.3,24.7,5.4
01-07-1988,10.3,16.6,6.9,10.2,15.2,6.6,30,3.3,6.4,4.6,17.6,2.2,4.9,1.7,13.5,3.7,2.7,3.2,25.1,6.3
01-08-1988,11.7,17.7,6.6,10,13.6,6.7,29.9,3.4,7.4,4.7,18.8,1.9,5.3,1.9,14.5,4.1,2.7,3.3,25.3,6
01-09-1988,11.4,16.9,5.9,9.7,14.9,6.6,29.9,3.8,6,6.3,18.9,1.9,4.9,2.1,15.3,4.6,2.6,3.7,25.4,5.5
01-10-1988,11,16.6,5.2,9,14.6,6.6,30.4,3.8,6.3,6.5,19.4,2.1,4.9,2.1,15.5,4.8,2.6,3.7,25.8,5.6
01-11-1988,11.5,16.7,5.7,9.6,17.6,7.2,29.9,3.9,7.2,7,21.4,2.2,5.5,2.2,16.5,4.9,2.5,3.9,25.2,5.2
01-12-1988,11.5,17.6,8.6,14.9,33.7,10.3,36.1,6.3,8.4,15.8,34.5,3.7,7.3,3.3,23.2,8.2,2.9,4.3,29.6,6.1
01-01-1989,9.5,15.1,6.9,10.7,12.5,5.8,28.5,3.8,6.1,6.4,18.3,1.5,4.5,1.9,14,4.2,2.5,3.6,24.4,5.6
01-02-1989,8.4,13.4,5.4,9.2,10.7,6.8,28.3,3.7,6.3,5.9,19,1.6,4.8,2,14.5,4.4,2.3,3.2,24.4,4.9
01-03-1989,9.1,14.2,7.5,11.7,15,7,32.1,4.2,6.3,4,17.3,3,5,2,15.1,4.4,2.6,3.6,26.6,5.1
01-04-1989,8,13.2,8,12.2,14.7,6.7,30,4.2,6.5,4.3,17.5,2.5,4.6,2,14.6,4.1,2.5,3.9,25,5.2
01-05-1989,9.3,14.4,8.2,12.7,15.3,7.6,30.5,4.4,6.8,4,18.4,2.7,5.2,2.1,15.9,4.3,2.5,4.3,25.3,5.1
01-06-1989,7.9,12.5,8.8,13.1,14.3,6.8,32.9,4.3,7.2,4.2,18.2,3,4,1.8,14.2,3.7,2.4,4.7,27.5,4.6
01-07-1989,8.9,14.2,9.2,13.4,15.9,6.3,34.1,4.2,6.1,4.1,16.5,2.9,4.1,1.8,14.6,3.8,2.7,4.8,28.5,5.3
01-08-1989,8.9,14.4,8.2,12.3,14.3,6.4,35.6,4.1,6.4,4.3,17.1,3.1,4.7,1.9,15.8,4,2.9,5.2,29.6,5.5
01-09-1989,8.1,13.9,7.3,11.7,12.8,7,36.4,4.4,5.9,5.1,17.9,3.4,4.5,2.2,16.2,4.8,2.8,4.8,30.2,5.8
01-10-1989,7.8,13.6,7.2,12.1,15,6.9,36.4,4.9,6.8,5.1,18.8,3.4,4.3,2.3,16.5,5.1,2.7,4.8,30.2,5.7
01-11-1989,8.3,13.9,7.4,11.8,20.7,7.4,36.4,4.4,6.7,5.3,19.3,3.4,4.3,2.1,16.3,4.8,2.8,5,30.3,5.6
01-12-1989,8.9,15.5,8.5,14.9,34.6,8.6,41.6,6.3,9.3,7.7,25.6,5.1,5.8,2.9,21.3,7.3,3.1,5.4,33.5,6.6
01-01-1990,8.3,14.7,5.7,9.9,15.5,6.6,34.5,4.2,7.4,4.7,18.7,2.9,4.1,1.9,14.5,4.3,2.7,4.1,28.9,6.4
01-02-1990,8,13.5,4.8,8.5,12.7,6.5,34.6,3.7,7,4.1,17.7,2.6,5.2,1.8,15,4.1,2.6,3.9,29.4,5.5
01-03-1990,9.3,15.6,6,10.3,16.3,7.3,37.1,4.2,7.6,4.3,19.3,3.3,5.1,2,15.9,4.3,2.8,4.5,30.9,6.3
01-04-1990,8.9,14.8,7.1,11.5,17.3,6.9,35.5,4.4,9,4.6,20.6,3.1,4.2,1.9,13.9,4.1,2.7,3.7,29.7,5.9
01-05-1990,9.4,15.6,7.8,12.3,19,9.1,38,4.5,9,4.8,22.9,3.6,4.6,2.1,15,4.3,2.8,4,31.6,6.1
01-06-1990,9.6,15.4,7.9,12.3,19,7.7,39.1,4.4,10.2,5.1,23,3.9,4.6,2,14.4,4,2.7,3.8,32.5,5.7
01-07-1990,10.3,16.1,7.9,12.3,17.8,7.3,37.8,4.5,9.1,4.1,20.5,3.1,4.4,1.9,14.4,4,2.7,4,32,5.9
01-08-1990,9.8,15.4,7.1,11.4,17,7.6,40.6,4.3,9.6,3.9,21.1,3.4,5,1.9,15,4,2.7,4.1,34.5,5.6
01-09-1990,12.3,18.3,6.4,10.7,16.8,6.9,38,4.3,9.1,4.3,20.3,3.3,4.2,1.9,14.4,4.2,2.7,4.1,32,6
01-10-1990,11.1,17.4,6.4,11,18.1,7.7,39.8,4.6,9.6,4.7,22,3.6,4.9,2.2,16.2,4.6,2.8,4.5,33.4,6.3
01-11-1990,11.7,17.9,6.4,11.1,21.1,7.5,41.9,4.7,9.8,5.1,22.4,4.3,5.2,2.2,16.9,4.8,2.8,4.6,34.8,6.1
01-12-1990,11.2,18.4,8.8,15.1,36.7,9,47.2,6.3,10.2,7.3,26.6,5.7,6.2,2.7,19.9,6.5,3.1,4.6,38.3,7.2
01-01-1991,9.7,16.5,5.9,10.4,16.2,6.6,39.9,4.5,8.6,4.8,20,2.8,4.2,1.9,14.3,4.3,2.9,3.9,34.2,6.9
01-02-1991,11.1,18.2,5,8.8,14.2,6.5,38.8,3.8,8.2,4.3,19,2.8,4.5,1.9,14.5,4.1,2.9,4,33.1,7.1
01-03-1991,9.8,18.2,5.9,10.3,17.6,7,44.3,4.4,9.3,5,21.3,3.4,5.3,2,17.1,4.4,3.4,5.4,37.5,8.4
01-04-1991,10,18.2,7.7,12.7,19.3,7.1,41.4,4.9,10,4.8,22,3,4.4,2.1,15.9,4.4,3.2,4.9,35.2,8.3
01-05-1991,10.5,18.8,7.3,12,20.4,7.6,44.1,4.7,10.1,4.6,22.4,3.4,4.5,2,16.1,4.3,3.3,5.3,37.4,8.3
01-06-1991,10,18.5,6.8,11.3,17.8,7.7,40.9,4.6,9.2,5.8,22.8,3.1,4.4,2.1,15.5,4.5,3.2,4.6,34.6,8.5
01-07-1991,10.5,19.1,7.1,11.7,21.1,8.1,44,4.6,9.1,5.2,22.4,2.7,4.6,2.1,16.1,4.5,3.4,5,38,8.6
01-08-1991,11.2,20.1,6,10.6,18.2,8.5,47.9,4.6,9.6,5.8,23.9,3.1,5,2.4,17.3,5,3.6,4.9,41.2,8.9
01-09-1991,12.2,19.3,6.3,11.1,17.6,6.7,42.8,4.8,10,6,22.8,2.2,4.7,2.3,16.9,5.3,3.2,4.6,37.4,7.2
01-10-1991,14.9,22.8,7.5,13.2,21.2,7.9,45.2,5.7,10.8,6.6,25.3,2.4,4.7,2.8,18.5,6.1,3.4,4.9,39.3,7.9
01-11-1991,14.9,23.1,7.4,12.7,23.1,7.5,46.6,5.3,9.8,6.6,23.8,2.6,4.9,2.7,18.5,6,3.5,5,40.5,8.2
01-12-1991,14,22.4,10.8,18.3,39.5,9.6,51.2,7.5,10.7,8.6,28.9,3.3,7.1,3.3,24.3,8.3,3.5,5.6,44.4,8.3
01-01-1992,10.5,17.2,6.7,11.8,18.9,7.6,45.5,5.1,10.1,6.3,24,1.8,4.8,2.4,16.2,5.2,3,3.8,40.7,6.7
01-02-1992,9.9,16.7,6.2,10.3,16.1,7.2,45.5,4.1,9.1,4.8,21.1,1.9,5.3,2,14.9,4.4,3,3.2,40.6,6.8
01-03-1992,12.8,20.7,7.3,12.4,16.8,7.6,46.2,5.1,9.9,5.3,22.7,1.9,6.2,2.6,17.9,5.5,3.3,3.7,41,7.8
01-04-1992,12.1,19.3,7.4,12.5,20.7,8.5,47.4,5.1,10.2,5.3,24,2.2,4.6,2.5,15.9,5.2,3.1,3.6,42.1,7.3
01-05-1992,12.9,20.9,7.6,12.8,22.1,8,46.8,5.3,11,5.3,24.3,2.1,5,2.4,16.6,5.2,3.2,4,41.4,8
01-06-1992,13,20.8,7.4,12.2,21.9,9.5,45,4.8,10.5,5.2,25.2,2.2,5.1,2.4,15.8,4.7,3.2,3.6,39.7,7.8
01-07-1992,12.1,21,7.4,12.4,19.9,8.8,47.5,5,11.5,5.2,25.5,1.8,5.6,2.4,16.7,5.1,3.3,3.7,42.3,8.9
01-08-1992,12.3,21.1,6.3,10.9,18.2,8.1,47.8,4.7,11.4,5.3,24.7,2.1,5.4,2.4,16.9,5.2,3.4,4,42.4,8.9
01-09-1992,12.7,22.2,6.2,11.2,20.4,7.6,49.7,5,11.7,5.8,25.1,1.8,5.9,2.6,18.4,5.6,3.5,4.3,44.4,9.5
01-10-1992,13.5,23.4,7.8,13.6,22.6,7.8,53.1,5.8,11,6.4,25.2,2,5.3,2.7,18.5,6.1,3.7,4.4,47.4,9.9
01-11-1992,13.1,23.1,7.3,12.6,23.8,7.9,51.8,5.3,11.4,6.7,26,2.5,5.6,2.5,18.6,5.7,3.7,4.8,45.6,10
01-12-1992,14.3,24.9,11.6,19.7,42.4,11.6,59.2,8.2,13.1,11.3,36.1,3.6,8.4,3.5,27.1,8.9,4.1,6.3,51.6,10.6
01-01-1993,10.8,20.9,6.3,11.5,18.9,7.8,52.6,5.1,9.5,5.5,22.9,2.2,4.7,2.3,16.2,4.9,3.7,4.3,46.7,10.1
01-02-1993,11.4,21.4,5.9,10.3,17,7.1,49.2,4.4,9.7,4.4,21.2,2,5.7,2.2,16.7,4.8,3.6,4,43.6,10
01-03-1993,12.4,22.9,7.5,12.8,20.4,9.7,53.4,5.3,10.7,5.1,25.6,2.3,6.7,2.6,19.8,5.5,3.9,4.8,47.2,10.5
01-04-1993,11.1,21.8,8.1,13.5,22.3,11.3,53.7,5.4,9.1,5.2,25.5,2.7,5.6,2.9,19.6,5.8,3.9,5.2,47.1,10.7
01-05-1993,11.3,21,9,14.8,24.7,11.3,54.3,5.8,9.9,5.2,26.4,2.6,6,3,20.6,6.1,3.8,5.4,47.9,9.7
01-06-1993,9.5,19.4,8,13.3,24.7,8.9,51.2,5.3,10.7,4.8,24.4,2.5,6.6,2.5,19.7,5.4,3.7,5.2,45,9.9
01-07-1993,12.6,23.1,7.7,13,20,9,55.1,5.3,10.1,4.8,23.8,2.4,7.4,2.5,20.8,5.5,4,5.4,48.8,10.5
01-08-1993,12.7,22.9,6.4,11.6,18.2,8.7,52.6,5.1,9.5,5.2,23.5,2.5,7.4,2.8,21.8,6.2,3.8,5.4,46.3,10.2
01-09-1993,12,22.9,7.4,12.9,21.2,8.6,54.8,5.6,9.8,4.6,23,2.4,6.8,3,21.2,6.2,4,5.3,48.4,10.9
01-10-1993,16.4,27.4,7.2,12.7,22.6,8.8,57.7,5.5,10.7,5,24.6,2.4,7,3,21.2,6,4.2,5.2,51.2,11
01-11-1993,14.8,25.8,7.5,13.1,24.2,9,57,5.6,11.2,5.7,25.9,2.6,7.3,3.3,23.1,6.8,4.2,5.7,50.2,11.1
01-12-1993,20.3,32.6,12.6,21.6,43.8,13.8,65.9,9,11.9,11.4,37.1,3.6,10.8,5.1,34.2,10.6,5.1,7.7,57.2,12.3
01-01-1994,15.1,23.8,7.2,12.3,19,8.8,55.5,5.1,9.5,4.9,23.2,1.8,7,2.5,19.7,5.2,4,5,49.7,8.7
01-02-1994,14.4,23.5,6.8,11.3,17.4,7.8,53.5,4.6,9.6,4.9,22.3,1.8,7.7,2.4,19.7,5.1,3.9,4.5,47.8,9
01-03-1994,18,29.2,7.4,13.3,22.1,7.8,59.4,5.8,10.7,5.6,24.1,2.5,8.3,3,21.8,6.5,4.6,4,52.3,11.2
01-04-1994,15.4,24.7,8,13.9,22.5,7.4,55.8,5.9,9.8,5.1,22.3,2.3,6.9,2.8,19.7,6.4,4.6,3.6,48.9,9.3
01-05-1994,16.1,25.8,7.8,13.2,23.7,7.9,57.1,5.4,11.6,4.7,24.3,2.2,7.8,2.8,20.2,5.9,4.4,3.7,50.5,9.7
01-06-1994,15.8,26,7,12.3,23.6,7.8,55.4,5.3,9.8,4.5,22.1,2.2,7.5,2.8,19.6,5.5,4,3.9,49.1,10.2
01-07-1994,15.5,24.7,6.7,11.9,21.3,9.3,56.5,5.2,10.9,4.3,24.4,2.3,7.3,3,19.9,6,4.2,3.7,49.9,9.3
01-08-1994,16.8,26.7,6.1,11.5,19.5,11,57.7,5.4,12.9,4.8,28.7,2.2,7.1,3.3,20.7,6.6,4.2,3.6,51.4,9.8
01-09-1994,15.7,25.7,7.1,12.9,21.8,8.5,59,5.8,11.1,5.6,25.1,2.3,7,3.3,20.9,7,4.2,3.6,52.5,10
01-10-1994,15.7,24.7,6.9,13.4,23.2,8.6,63.3,6.6,14.3,6.5,29.4,2.4,6.3,3.3,21.6,8.2,4.5,3.8,56.4,9.1
