carat,depth,table,clarity,cut
0.73,64.6,60.0,4.0,Fair
0.73,66.9,54.0,0.0,Fair
0.5,66.5,58.0,4.0,Fair
0.7,64.5,57.0,4.0,Fair
1.01,65.3,59.0,2.0,Fair
0.7,64.9,59.0,0.0,Fair
0.7,64.3,62.0,0.0,Fair
1.0,64.8,59.0,2.0,Fair
0.58,65.8,56.0,0.0,Fair
0.9,64.6,58.0,4.0,Fair
1.01,64.5,59.0,4.0,Fair
0.7,67.6,54.0,6.0,Fair
1.03,65.3,59.0,3.0,Fair
1.01,66.8,61.0,4.0,Fair
1.19,64.9,58.0,2.0,Fair
2.0,65.7,60.0,2.0,Fair
3.02,65.2,56.0,0.0,Fair
0.7,70.8,56.0,0.0,Fair
0.96,67.3,56.0,2.0,Fair
1.5,65.8,57.0,3.0,Fair
1.0,66.1,59.0,3.0,Fair
0.3,66.6,54.0,7.0,Fair
0.73,64.7,56.0,3.0,Fair
1.01,64.7,54.0,4.0,Fair
0.7,64.5,60.0,3.0,Fair
1.5,64.7,55.0,3.0,Fair
0.51,65.5,51.0,5.0,Fair
2.0,69.8,54.0,0.0,Fair
1.0,67.6,57.0,5.0,Fair
1.52,65.4,62.0,0.0,Fair
1.58,64.7,58.0,2.0,Fair
0.7,66.0,53.0,2.0,Fair
0.98,68.0,63.0,0.0,Fair
1.0,64.8,62.0,5.0,Fair
1.5,69.6,62.0,3.0,Fair
0.5,66.9,57.0,5.0,Fair
1.02,65.3,59.0,3.0,Fair
1.5,64.3,58.0,2.0,Fair
2.0,65.9,60.0,2.0,Fair
1.01,65.3,57.0,2.0,Fair
1.21,64.5,56.0,5.0,Fair
2.0,65.2,56.0,5.0,Fair
3.11,65.9,57.0,0.0,Fair
1.01,68.5,63.0,3.0,Fair
0.85,66.7,59.0,0.0,Fair
0.9,64.4,53.0,5.0,Fair
0.9,65.5,59.0,2.0,Fair
1.0,68.9,56.0,2.0,Fair
0.98,66.6,56.0,3.0,Fair
2.03,64.9,59.0,3.0,Fair
0.71,65.4,59.0,4.0,Fair
1.01,64.4,59.0,2.0,Fair
1.0,64.9,59.0,2.0,Fair
1.01,65.1,57.0,2.0,Fair
0.29,64.7,62.0,5.0,Fair
1.01,65.5,62.0,5.0,Fair
1.08,65.1,54.0,5.0,Fair
0.7,66.5,62.0,0.0,Fair
1.0,64.9,58.0,2.0,Fair
0.7,66.5,55.0,2.0,Fair
1.59,65.2,58.0,3.0,Fair
2.31,67.4,56.0,0.0,Fair
0.51,65.2,55.0,2.0,Fair
0.5,65.2,57.0,3.0,Fair
1.01,65.5,57.0,2.0,Fair
1.05,64.8,55.0,3.0,Fair
2.0,69.1,56.0,3.0,Fair
1.35,66.0,58.0,3.0,Fair
1.52,65.4,58.0,4.0,Fair
1.0,67.8,53.0,3.0,Fair
0.7,65.9,59.0,2.0,Fair
0.5,66.3,55.0,5.0,Fair
0.73,64.4,59.0,7.0,Fair
0.7,65.2,59.0,5.0,Fair
1.03,65.5,58.0,2.0,Fair
2.22,70.1,55.0,0.0,Fair
0.8,67.1,56.0,3.0,Fair
0.74,65.4,53.0,7.0,Fair
2.0,65.1,57.0,3.0,Fair
0.81,65.7,57.0,3.0,Fair
0.96,69.7,59.0,2.0,Fair
1.01,64.4,58.0,5.0,Fair
1.51,65.3,62.0,2.0,Fair
0.9,64.7,59.0,3.0,Fair
1.21,65.0,59.0,2.0,Fair
0.7,67.3,59.0,0.0,Fair
1.22,64.7,61.0,3.0,Fair
1.01,66.0,57.0,2.0,Fair
0.63,65.7,60.0,5.0,Fair
2.01,65.9,57.0,3.0,Fair
1.5,71.3,58.0,0.0,Fair
1.0,69.0,56.0,3.0,Fair
0.7,66.4,56.0,3.0,Fair
1.45,64.4,58.0,3.0,Fair
1.52,64.7,58.0,3.0,Fair
1.0,64.9,56.0,5.0,Fair
2.0,66.3,54.0,4.0,Fair
1.5,65.5,53.0,3.0,Fair
0.7,64.4,58.0,3.0,Fair
1.0,65.1,55.0,3.0,Fair
0.71,64.4,56.0,5.0,Fair
0.59,64.4,59.0,4.0,Fair
1.12,64.6,57.0,3.0,Fair
0.7,65.0,56.0,2.0,Fair
3.65,67.1,53.0,0.0,Fair
2.01,65.9,57.0,3.0,Fair
1.41,64.7,58.0,0.0,Fair
0.5,64.9,57.0,4.0,Fair
1.0,64.6,59.0,4.0,Fair
0.99,68.1,56.0,3.0,Fair
0.7,64.9,57.0,5.0,Fair
1.01,66.0,56.0,7.0,Fair
1.51,65.7,61.0,0.0,Fair
0.7,67.5,55.0,0.0,Fair
1.9,67.1,64.0,3.0,Fair
0.71,64.8,63.0,3.0,Fair
1.0,65.4,57.0,0.0,Fair
0.51,65.4,60.0,7.0,Fair
0.7,65.3,54.0,2.0,Fair
1.2,65.2,58.0,2.0,Fair
0.96,64.3,59.0,0.0,Fair
1.64,64.5,60.0,0.0,Fair
1.01,65.3,55.0,3.0,Fair
3.01,65.8,56.0,3.0,Fair
1.47,65.9,59.0,3.0,Fair
1.0,66.9,55.0,7.0,Fair
2.01,64.4,61.0,2.0,Fair
0.5,66.5,60.0,4.0,Fair
2.02,65.6,57.0,0.0,Fair
0.9,64.4,59.0,3.0,Fair
1.01,65.2,52.0,5.0,Fair
0.58,65.1,58.0,3.0,Fair
1.02,64.6,61.0,5.0,Fair
1.52,67.7,58.0,0.0,Fair
0.9,65.2,61.0,5.0,Fair
1.0,64.7,60.0,2.0,Fair
0.7,65.7,55.0,5.0,Fair
1.47,66.7,59.0,0.0,Fair
0.74,65.2,58.0,7.0,Fair
0.7,64.9,59.0,4.0,Fair
0.71,64.6,59.0,5.0,Fair
1.56,64.6,62.0,2.0,Fair
0.6,64.5,56.0,2.0,Fair
0.51,66.5,58.0,3.0,Fair
2.14,69.4,57.0,0.0,Fair
0.6,66.5,56.0,3.0,Fair
0.48,64.9,54.0,5.0,Fair
0.9,65.3,61.0,2.0,Fair
0.9,66.9,63.0,0.0,Fair
0.62,65.4,59.0,2.0,Fair
0.9,64.5,55.0,3.0,Fair
0.9,69.0,59.0,3.0,Fair
0.7,68.3,56.0,0.0,Fair
0.41,64.5,57.0,7.0,Fair
2.52,63.7,59.0,3.0,Good
0.7,63.4,61.0,2.0,Good
1.01,63.1,57.0,0.0,Good
1.23,63.7,58.0,0.0,Good
1.01,63.6,60.0,2.0,Good
1.0,63.5,59.0,5.0,Good
0.41,63.2,58.0,2.0,Good
0.51,63.1,64.0,2.0,Good
1.01,63.2,59.0,2.0,Good
0.7,63.5,59.0,2.0,Good
0.4,63.4,59.0,3.0,Good
1.21,63.6,58.0,2.0,Good
1.0,63.7,60.0,4.0,Good
1.21,64.0,62.0,3.0,Good
1.05,63.6,59.0,3.0,Good
0.9,63.1,63.0,2.0,Good
1.01,63.7,59.0,3.0,Good
1.02,63.2,58.0,5.0,Good
1.41,63.8,60.0,5.0,Good
1.5,63.8,58.0,4.0,Good
1.04,64.0,60.0,3.0,Good
1.0,63.6,61.0,5.0,Good
0.9,63.1,58.0,3.0,Good
0.91,63.9,60.0,2.0,Good
0.3,63.4,58.0,2.0,Good
0.36,63.1,58.0,2.0,Good
1.72,63.4,62.0,3.0,Good
1.0,63.6,58.0,5.0,Good
0.52,63.6,62.0,2.0,Good
0.83,63.8,58.0,2.0,Good
0.5,63.5,58.0,3.0,Good
0.49,63.6,59.0,4.0,Good
0.5,63.2,61.0,3.0,Good
1.05,63.7,59.0,3.0,Good
0.78,63.9,64.0,2.0,Good
0.39,63.6,60.2,7.0,Good
1.0,63.9,60.0,3.0,Good
1.01,63.8,59.0,4.0,Good
1.5,64.0,56.0,0.0,Good
1.01,64.0,58.0,2.0,Good
1.2,63.7,58.0,5.0,Good
0.9,63.8,58.0,3.0,Good
0.9,63.7,61.0,5.0,Good
1.01,64.0,59.0,3.0,Good
1.02,63.5,61.0,2.0,Good
1.52,64.0,58.0,2.0,Good
0.9,63.4,59.0,3.0,Good
0.9,63.6,59.0,2.0,Good
1.5,64.0,61.0,0.0,Good
0.5,63.4,59.0,3.0,Good
0.9,63.6,58.0,5.0,Good
0.7,63.2,58.0,6.0,Good
0.91,64.2,58.0,5.0,Good
1.1,63.7,60.0,4.0,Good
1.21,63.7,64.0,3.0,Good
0.9,64.2,58.0,2.0,Good
1.14,63.7,56.0,0.0,Good
0.7,63.6,62.0,7.0,Good
1.01,63.8,60.0,2.0,Good
1.14,63.4,58.0,4.0,Good
0.73,63.7,58.0,5.0,Good
1.18,64.2,62.0,2.0,Good
1.01,63.8,60.0,2.0,Good
0.31,63.1,58.0,5.0,Good
1.5,63.6,58.0,5.0,Good
1.2,63.7,58.0,5.0,Good
0.7,63.3,58.0,3.0,Good
0.72,63.9,58.0,2.0,Good
1.51,63.6,61.0,2.0,Good
0.6,62.5,55.0,6.0,Ideal
0.32,61.7,55.0,3.0,Ideal
0.3,62.3,56.0,2.0,Ideal
0.71,60.4,56.0,3.0,Ideal
1.32,62.1,55.0,6.0,Ideal
0.71,60.5,56.0,2.0,Ideal
1.0,62.4,57.0,3.0,Ideal
2.15,60.9,56.0,2.0,Ideal
0.33,60.9,56.0,4.0,Ideal
0.34,61.7,55.0,1.0,Ideal
0.31,60.8,57.0,5.0,Ideal
0.3,61.6,54.0,4.0,Ideal
0.3,60.0,56.0,4.0,Ideal
0.91,61.7,57.0,7.0,Ideal
0.31,62.4,57.0,2.0,Ideal
0.3,61.1,55.0,3.0,Ideal
1.2,61.9,57.0,5.0,Ideal
0.53,60.8,55.0,5.0,Ideal
1.21,60.7,56.0,3.0,Ideal
0.31,62.0,56.0,2.0,Ideal
0.33,60.6,55.0,5.0,Ideal
1.51,62.9,57.0,3.0,Ideal
0.3,61.5,55.0,5.0,Ideal
0.34,61.1,57.0,7.0,Ideal
0.33,61.9,55.0,5.0,Ideal
0.35,61.6,55.1,4.0,Ideal
0.8,62.4,56.0,4.0,Ideal
0.41,62.2,55.0,4.0,Ideal
0.43,61.5,57.0,2.0,Ideal
0.34,61.3,56.0,4.0,Ideal
0.5,61.6,57.0,3.0,Ideal
1.28,62.2,56.0,2.0,Ideal
0.64,61.0,56.0,7.0,Ideal
1.11,62.7,57.0,3.0,Ideal
0.93,62.0,56.0,2.0,Ideal
0.38,61.0,55.0,2.0,Ideal
0.56,62.7,55.0,5.0,Ideal
0.41,62.6,57.0,1.0,Ideal
0.3,61.4,57.0,2.0,Ideal
0.63,60.9,57.0,1.0,Ideal
1.12,60.9,57.0,4.0,Ideal
0.3,62.2,57.0,6.0,Ideal
1.53,60.6,54.0,4.0,Ideal
0.33,62.6,57.0,5.0,Ideal
0.72,61.1,57.0,4.0,Ideal
0.71,61.3,57.0,2.0,Ideal
1.01,61.6,56.0,5.0,Ideal
0.31,61.9,55.0,6.0,Ideal
0.7,61.2,55.0,2.0,Ideal
1.03,62.4,57.0,2.0,Ideal
0.37,61.4,55.0,1.0,Ideal
0.32,61.6,55.0,7.0,Ideal
2.05,61.9,57.0,2.0,Ideal
0.3,62.3,54.0,5.0,Ideal
1.21,61.2,57.0,5.0,Ideal
1.01,61.7,57.0,3.0,Ideal
0.32,61.7,56.0,6.0,Ideal
0.73,62.1,55.8,4.0,Ideal
0.54,61.7,57.0,6.0,Ideal
0.59,61.4,56.0,2.0,Ideal
0.71,61.2,56.0,1.0,Ideal
0.25,61.9,55.0,7.0,Ideal
0.76,60.5,56.0,4.0,Ideal
1.01,61.5,57.0,4.0,Ideal
1.04,61.1,56.0,3.0,Ideal
0.32,62.2,55.0,5.0,Ideal
0.29,62.1,54.0,2.0,Ideal
0.77,62.1,56.0,3.0,Ideal
1.11,61.7,57.0,3.0,Ideal
0.42,61.7,55.0,6.0,Ideal
0.5,61.6,57.0,7.0,Ideal
1.55,62.1,56.0,6.0,Ideal
0.3,61.9,57.0,2.0,Ideal
0.51,60.2,56.0,4.0,Ideal
0.55,61.9,56.0,4.0,Ideal
0.31,61.7,55.0,5.0,Ideal
0.7,61.1,56.0,4.0,Ideal
0.56,61.8,56.0,6.0,Ideal
0.33,61.0,54.0,7.0,Ideal
2.01,62.9,54.0,4.0,Ideal
1.56,61.8,57.0,2.0,Ideal
0.32,60.9,57.0,2.0,Ideal
0.32,62.2,55.0,6.0,Ideal
0.38,61.5,57.0,7.0,Ideal
0.7,62.1,56.0,2.0,Ideal
0.25,61.2,57.0,6.0,Ideal
1.13,61.7,57.0,5.0,Ideal
1.0,61.5,55.0,7.0,Ideal
1.2,61.1,57.0,3.0,Ideal
0.33,62.1,57.0,5.0,Ideal
0.54,62.2,56.0,4.0,Ideal
1.28,62.7,53.0,4.0,Ideal
0.41,62.4,55.0,2.0,Ideal
0.72,62.0,56.0,6.0,Ideal
0.82,62.4,56.0,2.0,Ideal
1.01,62.8,57.0,1.0,Ideal
0.34,61.5,56.0,6.0,Ideal
0.6,61.6,56.0,4.0,Ideal
0.39,61.9,54.0,1.0,Ideal
0.35,62.0,55.0,5.0,Ideal
1.57,62.0,56.0,2.0,Ideal
0.44,60.9,57.0,7.0,Ideal
0.26,62.1,54.0,4.0,Ideal
1.02,61.3,57.0,6.0,Ideal
1.19,61.5,55.0,6.0,Ideal
1.27,61.6,56.1,5.0,Ideal
0.38,62.6,56.0,6.0,Ideal
0.31,62.2,53.0,7.0,Ideal
1.2,62.9,55.0,7.0,Ideal
0.38,61.3,54.0,3.0,Ideal
0.59,62.9,56.0,5.0,Ideal
0.3,62.9,57.0,2.0,Ideal
0.59,62.2,56.0,7.0,Ideal
0.32,61.4,56.0,3.0,Ideal
1.03,61.5,57.0,4.0,Ideal
0.32,62.5,55.0,2.0,Ideal
0.5,62.7,57.0,4.0,Ideal
0.31,62.8,57.0,7.0,Ideal
1.14,61.4,57.0,4.0,Ideal
1.04,60.5,57.0,5.0,Ideal
0.4,62.1,55.0,2.0,Ideal
0.72,62.6,56.0,7.0,Ideal
0.4,62.3,57.0,4.0,Ideal
0.7,63.1,54.0,3.0,Ideal
0.74,62.3,56.0,4.0,Ideal
0.31,62.8,57.0,4.0,Ideal
0.31,62.1,55.0,6.0,Ideal
0.31,62.7,57.0,2.0,Ideal
1.54,61.2,56.0,4.0,Ideal
0.31,61.1,54.0,4.0,Ideal
0.39,60.5,56.0,2.0,Ideal
1.6,62.8,56.0,3.0,Ideal
0.31,61.4,56.0,5.0,Ideal
0.79,61.4,56.0,2.0,Ideal
0.31,61.2,56.0,6.0,Ideal
0.3,62.5,54.0,1.0,Ideal
0.4,61.3,56.0,6.0,Ideal
0.56,61.5,57.0,5.0,Ideal
1.09,62.4,55.0,5.0,Ideal
1.54,62.0,57.0,4.0,Ideal
1.39,61.5,55.0,5.0,Ideal
0.51,62.4,55.0,1.0,Ideal
0.4,61.6,56.0,4.0,Ideal
0.31,61.1,56.0,6.0,Ideal
0.36,61.7,56.0,1.0,Ideal
0.33,61.9,55.0,6.0,Ideal
1.01,61.2,57.0,3.0,Ideal
0.38,62.4,53.2,6.0,Ideal
0.32,61.5,54.0,2.0,Ideal
0.51,61.6,56.0,5.0,Ideal
0.33,61.6,53.0,1.0,Ideal
1.11,62.1,55.0,6.0,Ideal
0.56,61.8,54.0,2.0,Ideal
0.4,62.2,55.0,2.0,Ideal
1.01,61.0,57.0,7.0,Ideal
0.3,62.3,52.8,1.0,Ideal
0.53,61.6,55.0,4.0,Ideal
0.97,61.7,56.0,2.0,Ideal
0.33,60.7,57.0,5.0,Ideal
1.2,62.2,55.0,5.0,Ideal
1.0,62.7,57.0,2.0,Ideal
0.73,62.3,56.0,4.0,Ideal
0.55,62.4,55.0,7.0,Ideal
1.02,62.2,56.0,2.0,Ideal
1.31,62.3,56.0,3.0,Ideal
0.55,62.1,55.0,2.0,Ideal
0.91,62.3,56.0,2.0,Ideal
0.42,62.4,55.0,5.0,Ideal
0.31,61.7,56.0,4.0,Ideal
0.54,61.8,54.0,3.0,Ideal
0.9,61.5,56.0,3.0,Ideal
1.02,60.7,57.0,3.0,Ideal
0.4,61.3,55.0,4.0,Ideal
0.43,62.0,57.0,6.0,Ideal
0.32,62.0,55.0,7.0,Ideal
1.61,62.2,56.0,5.0,Ideal
2.3,61.6,56.0,3.0,Ideal
0.34,62.3,57.0,2.0,Ideal
0.41,61.6,54.0,4.0,Ideal
1.2,61.7,56.0,4.0,Ideal
0.5,61.4,55.0,5.0,Ideal
1.6,61.7,56.0,3.0,Ideal
0.53,60.8,56.0,2.0,Ideal
1.22,61.5,56.0,4.0,Ideal
0.85,63.0,56.0,2.0,Ideal
1.02,61.6,55.0,3.0,Ideal
0.8,62.0,57.0,2.0,Ideal
1.01,62.7,57.0,3.0,Ideal
1.25,62.5,56.0,5.0,Ideal
1.14,61.7,53.0,4.0,Ideal
0.5,62.9,57.0,3.0,Ideal
0.9,61.1,56.0,2.0,Ideal
1.07,62.8,54.0,7.0,Ideal
0.36,60.0,56.0,5.0,Ideal
2.0,62.4,55.0,5.0,Ideal
1.65,60.4,60.0,2.0,Premium
1.53,62.7,60.0,3.0,Premium
1.21,62.7,59.0,3.0,Premium
0.32,60.1,61.0,5.0,Premium
0.82,61.1,60.0,2.0,Premium
0.57,59.8,59.0,5.0,Premium
0.51,60.5,59.0,2.0,Premium
0.51,62.2,58.0,2.0,Premium
1.13,61.4,59.0,3.0,Premium
1.37,60.9,59.0,5.0,Premium
0.34,62.6,59.0,5.0,Premium
2.02,60.8,62.0,5.0,Premium
1.38,60.2,60.0,3.0,Premium
0.76,60.1,59.0,5.0,Premium
0.37,58.4,59.0,4.0,Premium
2.04,60.3,60.0,3.0,Premium
1.5,58.9,60.0,3.0,Premium
1.3,59.9,59.0,2.0,Premium
1.0,62.5,59.0,3.0,Premium
0.77,61.9,59.0,3.0,Premium
0.33,62.3,59.0,2.0,Premium
0.52,61.7,58.0,4.0,Premium
1.62,61.7,59.0,4.0,Premium
1.0,60.1,61.0,2.0,Premium
0.38,61.3,59.0,2.0,Premium
0.71,61.4,58.0,2.0,Premium
0.55,60.3,62.0,5.0,Premium
2.8,61.1,59.0,3.0,Premium
0.32,59.9,58.0,7.0,Premium
0.5,61.3,59.0,5.0,Premium
2.01,61.6,58.0,3.0,Premium
1.54,59.3,59.0,5.0,Premium
0.41,62.4,58.0,5.0,Premium
0.5,61.4,59.0,5.0,Premium
0.5,62.3,58.0,2.0,Premium
0.32,60.2,60.0,7.0,Premium
0.73,61.7,58.0,2.0,Premium
0.69,61.0,60.0,5.0,Premium
1.21,60.3,60.0,5.0,Premium
0.95,62.8,59.0,2.0,Premium
0.93,62.3,58.0,2.0,Premium
0.3,61.1,61.0,6.0,Premium
1.53,62.9,59.0,2.0,Premium
0.38,60.9,60.0,5.0,Premium
0.33,60.1,59.0,2.0,Premium
1.04,61.0,58.0,2.0,Premium
0.33,61.0,59.0,7.0,Premium
0.7,62.1,59.0,2.0,Premium
0.33,61.0,58.0,7.0,Premium
2.01,61.5,62.0,4.0,Premium
1.01,58.5,59.0,7.0,Premium
0.41,60.2,59.0,4.0,Premium
1.25,62.0,59.0,5.0,Premium
0.72,59.1,61.0,3.0,Premium
0.5,61.8,58.0,5.0,Premium
1.33,61.5,58.0,4.0,Premium
1.01,61.6,59.0,5.0,Premium
0.32,62.3,60.0,5.0,Premium
0.95,62.6,59.0,7.0,Premium
1.51,62.8,60.0,3.0,Premium
1.01,59.2,60.0,2.0,Premium
0.31,61.5,59.0,2.0,Premium
0.41,62.8,59.0,2.0,Premium
0.7,61.9,60.0,2.0,Premium
0.7,60.5,58.0,2.0,Premium
0.31,62.1,59.0,6.0,Premium
1.0,62.3,59.0,2.0,Premium
1.57,60.9,58.0,3.0,Premium
1.64,62.8,59.0,2.0,Premium
1.0,61.2,58.0,2.0,Premium
1.71,61.3,58.0,5.0,Premium
1.09,59.4,60.0,3.0,Premium
1.05,58.9,58.0,3.0,Premium
0.31,60.8,58.0,5.0,Premium
1.12,62.4,58.0,3.0,Premium
1.24,61.6,59.0,2.0,Premium
1.16,60.5,59.0,5.0,Premium
0.7,61.7,60.0,4.0,Premium
1.01,59.1,58.0,5.0,Premium
1.19,62.7,61.0,2.0,Premium
0.75,61.9,61.0,4.0,Premium
0.71,61.3,58.0,2.0,Premium
0.92,62.2,58.0,2.0,Premium
1.02,61.9,58.0,4.0,Premium
0.32,62.3,58.0,4.0,Premium
1.51,60.9,58.0,7.0,Premium
0.31,61.5,58.0,7.0,Premium
0.34,59.9,59.0,3.0,Premium
1.2,59.6,58.0,5.0,Premium
0.36,61.5,58.0,3.0,Premium
1.11,61.8,59.0,0.0,Premium
1.14,62.6,58.0,3.0,Premium
0.6,62.0,59.0,3.0,Premium
0.31,59.9,59.0,4.0,Premium
0.72,62.8,58.0,6.0,Premium
2.01,59.4,62.0,3.0,Premium
0.3,62.2,58.0,2.0,Premium
1.13,58.3,60.0,3.0,Premium
0.9,62.7,60.0,4.0,Premium
0.31,60.5,60.0,2.0,Premium
0.43,62.3,59.0,2.0,Premium
1.24,62.2,58.0,3.0,Premium
1.21,61.0,58.0,5.0,Premium
0.43,61.0,60.0,3.0,Premium
2.38,60.6,59.0,3.0,Premium
1.23,58.5,59.0,7.0,Premium
0.32,62.6,58.0,2.0,Premium
0.43,59.9,58.0,4.0,Premium
0.31,61.1,59.0,4.0,Premium
0.37,63.0,58.0,5.0,Premium
0.3,62.6,58.0,5.0,Premium
0.28,61.3,60.0,6.0,Premium
2.75,60.5,61.0,3.0,Premium
1.6,62.1,60.0,2.0,Premium
0.31,60.6,59.0,6.0,Premium
0.73,60.0,58.0,4.0,Premium
0.42,59.9,61.0,4.0,Premium
1.22,61.2,58.0,5.0,Premium
1.22,62.6,58.0,2.0,Premium
1.53,60.7,60.0,3.0,Premium
0.31,60.6,60.0,7.0,Premium
1.28,60.8,60.0,4.0,Premium
2.05,60.0,58.0,3.0,Premium
0.71,62.4,58.0,4.0,Premium
1.52,60.4,59.0,2.0,Premium
1.71,61.4,60.0,5.0,Premium
1.3,62.5,58.0,4.0,Premium
2.01,60.1,59.0,2.0,Premium
0.31,61.3,59.0,5.0,Premium
1.01,62.5,62.0,3.0,Premium
0.33,62.2,59.0,2.0,Premium
0.54,58.8,61.0,1.0,Premium
0.32,61.0,61.0,5.0,Premium
0.31,61.2,59.0,6.0,Premium
0.9,58.0,61.0,5.0,Premium
0.7,58.4,61.0,3.0,Premium
1.32,60.9,59.0,5.0,Premium
0.53,60.0,58.0,2.0,Premium
0.94,62.5,58.0,5.0,Premium
0.3,60.0,60.0,2.0,Premium
0.41,61.0,59.0,7.0,Premium
1.01,59.8,58.0,0.0,Premium
0.56,60.8,60.0,2.0,Premium
1.0,59.9,60.0,7.0,Premium
0.95,58.8,60.0,3.0,Premium
0.42,62.7,59.0,2.0,Premium
0.32,61.7,58.0,4.0,Premium
0.33,60.1,58.0,6.0,Premium
1.01,62.7,59.0,2.0,Premium
0.31,62.4,58.0,4.0,Premium
0.9,59.5,58.0,5.0,Premium
0.51,61.5,58.0,5.0,Premium
0.31,62.3,59.0,4.0,Premium
0.92,59.4,60.0,3.0,Premium
2.38,60.9,59.0,4.0,Premium
1.13,58.6,59.0,4.0,Premium
0.31,60.7,61.0,5.0,Premium
0.4,60.9,60.0,2.0,Premium
1.5,59.2,62.0,2.0,Premium
0.36,61.4,58.0,2.0,Premium
0.31,60.3,59.0,3.0,Premium
0.5,62.4,58.0,2.0,Premium
0.36,61.1,59.0,2.0,Premium
0.32,61.6,58.0,1.0,Premium
0.72,60.7,60.0,7.0,Premium
2.06,61.0,61.0,3.0,Premium
0.81,60.8,59.0,2.0,Premium
1.11,61.5,58.0,3.0,Premium
2.33,59.9,59.0,2.0,Premium
1.27,60.9,59.0,2.0,Premium
0.31,59.5,59.0,4.0,Premium
1.5,62.6,59.0,3.0,Premium
0.91,62.2,60.0,2.0,Premium
0.34,59.3,60.0,2.0,Premium
1.02,62.0,59.0,3.0,Premium
0.77,60.8,59.0,2.0,Premium
1.15,62.6,58.0,2.0,Premium
2.1,61.3,58.0,6.0,Premium
0.57,60.7,59.0,3.0,Premium
1.5,60.6,61.0,5.0,Premium
1.53,61.3,59.0,2.0,Premium
