"Month","Day_of_month","Day_of_week","ozone_reading","pressure_height","Wind_speed","Humidity","Temperature_Sandburg","Temperature_ElMonte","Inversion_base_height","Pressure_gradient","Inversion_temperature","Visibility"
1,5,1,5.34,5760,3,51,54,45.32,1450,25,57.02,60
1,6,2,5.77,5720,4,69,35,49.64,1568,15,53.78,60
1,7,3,3.69,5790,6,19,45,46.4,2631,-33,54.14,100
1,8,4,3.89,5790,3,25,55,52.7,554,-28,64.76,250
1,9,5,5.76,5700,3,73,41,48.02,2083,23,52.52,120
1,12,1,6.39,5720,3,44,51,54.32,111,9,63.14,150
1,13,2,4.73,5760,6,33,51,57.56,492,-44,64.58,40
1,14,3,4.35,5780,6,19,54,56.12,5000,-44,56.3,200
1,15,4,3.94,5830,3,19,58,62.24,1249,-53,75.74,250
1,16,5,7,5870,2,19,61,64.94,5000,-67,65.48,200
1,19,1,4.07,5680,5,73,52,56.48,393,-68,69.8,10
1,21,3,4.39,5760,3,19,54,53.6,5000,-58,51.98,250
1,22,4,3.69,5730,4,26,58,52.7,5000,-26,51.98,200
1,23,5,4.9,5700,5,59,69,51.08,3044,18,52.88,150
1,27,2,6.15,5820,5,19,59,59.36,597,-52,70.52,70
1,29,4,5.68,5810,5,19,64,56.66,1791,-15,64.76,150
1,30,5,11.06,5790,3,28,63,57.38,793,-15,65.84,120
2,2,1,12.28,5770,8,76,63,57.2,816,-7,66.2,6
2,3,2,9.29,5670,3,69,54,45.5,3651,62,49.1,30
2,4,3,2.18,5590,3,76,36,37.4,5000,70,37.94,100
2,5,4,2.94,5410,6,64,31,32.18,5000,28,32.36,200
2,6,5,2.74,5350,7,62,30,32.54,1341,18,45.86,60
2,9,1,2.92,5490,11,72,37,38.48,5000,32,38.12,350
2,10,2,4.08,5560,10,72,41,40.46,5000,-1,37.58,300
2,12,4,8.32,5680,5,50,51,47.12,5000,-8,45.5,300
2,13,5,5.8,5700,4,86,55,49.28,2398,21,53.78,200
2,17,2,10.6,5770,5,68,45,52.88,2778,2,55.76,200
2,18,3,12.77,5770,3,82,55,55.4,442,26,58.28,40
2,20,5,5.73,5690,8,21,41,43.88,5000,-30,42.26,300
2,23,1,4.04,5690,7,19,53,50.18,5000,7,49.1,300
2,24,2,6.04,5640,5,68,50,37.4,5000,24,42.08,300
2,25,3,10.27,5720,6,63,60,53.06,1341,19,59.18,150
2,26,4,15.06,5740,3,54,54,56.48,1318,2,64.58,150
2,27,5,22.89,5740,3,47,53,58.82,885,-4,67.1,80
3,1,1,2.26,5550,10,74,40,38.84,5000,73,40.1,80
3,2,2,3.22,5470,7,46,30,29.66,5000,44,29.3,300
3,3,3,2.79,5320,11,45,25,27.68,5000,39,27.5,200
3,5,5,4.32,5530,3,43,40,36.14,5000,-12,33.62,140
3,8,1,7.19,5580,5,42,48,40.64,3608,24,39.38,100
3,9,2,5.65,5510,5,50,45,36.86,5000,38,32.9,140
3,10,3,3.01,5530,5,61,47,33.8,5000,56,35.6,200
3,11,4,1.98,5620,9,61,43,37.04,5000,66,34.34,120
3,12,5,7.63,5690,0,60,49,46.04,613,-27,59.72,300
3,15,1,15.68,5780,5,53,61,57.92,488,-20,64.94,2
3,16,2,8.7,5790,2,42,63,57.02,531,-15,71.06,50
3,17,3,24.29,5760,3,60,70,58.64,508,7,66.56,70
3,18,4,12.67,5700,4,82,57,50.36,1571,68,56.3,17
3,19,5,8.1,5680,4,57,35,40.1,721,28,55.4,140
3,22,1,8.93,5730,4,32,67,59.54,442,-9,75.74,200
3,23,2,10.18,5710,5,77,57,57.38,902,54,60.44,250
3,25,4,13.94,5720,4,71,42,44.96,1381,4,56.3,60
3,26,5,8.9,5710,3,19,55,51.8,5000,-16,50,100
3,29,1,8.6,5690,7,70,57,46.58,1292,-5,53.6,200
3,30,2,12.05,5730,6,45,58,52.52,5000,-14,52.7,100
3,31,3,12.33,5710,3,46,62,52.52,472,34,62.96,300
4,1,4,7.93,5610,6,50,51,50,1404,42,54.5,120
4,2,5,9.09,5680,5,69,61,51.44,944,35,55.76,100
4,5,1,4.33,5540,5,54,35,33.26,5000,62,33.44,200
4,6,2,9.32,5590,6,51,48,38.12,5000,44,42.08,300
4,7,3,13.12,5690,6,63,59,52.88,2014,31,53.42,300
4,8,4,5.09,5550,7,63,41,37.58,5000,56,37.22,250
4,9,5,10.07,5620,7,57,58,46.76,5000,27,47.66,120
4,12,1,4.81,5560,4,65,40,34.7,5000,59,35.24,140
4,13,2,3.65,5440,5,44,35,33.08,5000,24,32.54,80
4,14,3,6.76,5480,7,51,46,37.4,2490,29,47.48,300
4,15,4,2.88,5620,5,73,39,39.56,5000,107,31.28,100
4,19,1,14.89,5760,4,50,65,56.3,547,1,66.92,100
4,20,2,21.9,5790,4,57,66,63.68,413,10,69.62,120
4,21,3,17.32,5720,5,68,69,60.8,610,46,63.68,60
4,22,4,7.26,5660,6,58,59,42.8,3638,81,51.26,120
4,23,5,9.69,5710,5,65,64,56.3,3848,45,56.84,100
4,26,1,12.23,5700,5,41,52,49.64,869,0,58.1,40
4,27,2,5.73,5620,9,47,56,39.92,5000,43,38.3,140
4,28,3,8.68,5650,6,46,55,40.82,5000,49,37.94,150
4,29,4,18.79,5730,5,61,66,59.72,1148,31,60.8,100
4,30,5,21.12,5810,4,55,74,67.28,856,4,75.38,100
5,4,2,11.3,5690,4,71,67,52.52,314,60,59,120
5,6,4,2.39,5680,6,77,41,42.98,5000,75,40.82,120
5,7,5,11.79,5650,8,66,61,51.8,1410,20,55.22,140
5,10,1,19.98,5760,7,78,74,63.14,1184,40,68.72,80
5,11,2,26.89,5830,6,75,74,67.28,898,24,73.4,70
5,12,3,33.04,5880,3,80,80,73.04,436,0,86.36,40
5,13,4,24.89,5890,6,88,84,73.22,774,6,86,20
5,14,5,31.15,5850,4,76,78,71.24,1181,50,79.88,17
5,25,2,8.68,5730,5,71,67,49.82,4337,66,59.36,200
5,28,5,4.82,5750,3,76,65,51.08,3644,86,59.36,70
6,2,3,16.85,5780,8,92,68,64.76,1804,56,68,70
6,3,4,19.16,5740,6,71,69,64.4,3234,77,62.78,80
6,4,5,16.15,5730,6,64,66,60.44,3441,67,60.98,100
6,7,1,8.73,5690,8,67,64,54.5,2962,80,59.36,120
6,8,2,6.68,5650,6,66,61,53.78,2670,54,55.4,120
6,9,3,5.27,5610,3,61,52,42.08,5000,76,42.08,150
6,10,4,1.8,5570,9,81,48,41.72,5000,57,40.82,140
6,11,5,11.9,5690,5,63,59,51.8,5000,46,51.26,140
6,14,1,25.66,5830,4,71,74,71.78,898,-24,77.9,60
6,15,2,26.89,5880,6,67,83,72.5,777,-1,82.58,30
6,16,3,14.31,5860,3,64,78,68.72,1279,75,71.6,17
6,17,4,10.77,5830,6,64,75,66.2,1046,69,68.72,80
6,18,5,22.85,5870,4,69,84,74.12,1167,50,74.3,60
6,21,1,15.27,5800,4,69,79,66.2,977,60,70.7,150
6,22,2,19.93,5770,5,64,65,65.12,770,26,75.56,120
6,23,3,15.25,5860,4,33,81,72.68,629,-11,86.36,140
6,24,4,17.95,5870,7,38,84,76.1,337,-14,89.78,140
7,6,2,34.39,5900,6,86,87,81.68,990,22,85.1,40
7,9,5,23.66,5910,4,73,88,79.88,1204,56,79.88,100
7,12,1,14.27,5830,3,63,79,70.88,2326,64,71.24,70
7,13,2,13.3,5850,9,72,77,69.44,3389,56,68.72,80
7,14,3,16.79,5830,6,82,81,73.22,2818,58,71.78,80
7,16,5,21.87,5810,8,69,76,67.64,2394,54,69.62,90
7,19,1,24.98,5840,7,72,82,68,1528,42,73.94,100
7,20,2,28.24,5870,6,73,84,74.12,111,40,78.08,60
7,21,3,29.21,5870,4,90,86,74.48,1899,45,76.46,40
7,23,5,22.87,5860,3,80,80,67.28,1289,32,75.2,40
7,26,1,13.02,5880,4,78,84,70.7,826,27,79.34,80
7,27,2,26.1,5890,6,80,81,69.8,1105,39,74.12,80
7,28,3,21.92,5870,8,74,85,71.42,1023,46,77.18,80
8,2,1,9.35,5770,3,55,68,62.6,4291,60,62.24,200
8,3,2,11.6,5790,4,65,65,56.48,3330,59,58.64,150
8,9,1,13.67,5840,7,65,79,67.1,1233,30,70.52,100
8,11,3,23.79,5910,5,72,81,70.88,1069,28,74.3,80
8,12,4,18.77,5890,5,79,80,69.8,984,57,73.4,70
8,16,1,4.26,5780,7,70,66,51.44,5000,45,51.26,200
8,17,2,5.82,5750,7,58,64,56.48,4212,46,56.84,200
8,18,3,12.16,5760,5,58,62,52.16,5000,52,49.82,250
8,20,5,14.88,5730,5,77,74,64.04,1545,43,65.66,70
8,24,2,22.29,5890,7,70,83,70.88,748,32,77,30
8,25,3,23.62,5880,4,73,81,73.76,692,44,77.72,100
8,26,4,25.69,5870,7,73,73,75.2,807,39,78.8,100
8,27,5,32.28,5900,6,71,87,76.46,869,19,78.98,17
8,30,1,37.98,5950,5,62,92,82.4,557,0,90.68,70
8,31,2,23.07,5950,8,61,93,81.68,620,27,85.64,30
9,1,3,19.2,5900,5,71,93,82.58,1404,33,84.74,70
9,2,4,19.08,5890,8,77,86,71.42,898,21,80.6,60
9,3,5,14.73,5860,7,71,76,69.44,377,-2,83.3,40
9,7,2,25.8,5810,6,82,80,71.78,895,0,78.08,100
9,8,3,17.06,5850,4,67,81,70.88,721,0,80.24,120
9,13,1,29.22,5830,5,77,72,68.72,1853,10,70.88,70
9,14,2,18.33,5840,5,78,75,69.26,2342,7,71.42,40
9,15,3,3.35,5800,7,72,55,54.32,5000,56,51.62,70
9,17,5,8.86,5790,3,71,61,50.54,4028,35,55.04,140
9,21,2,22.86,5780,6,76,72,66.38,3795,31,66.92,70
9,22,3,12.81,5800,6,73,75,67.1,3120,35,66.92,40
9,24,5,7.32,5800,5,80,65,60.08,2667,17,63.5,100
9,27,1,11.02,5770,5,75,64,55.94,308,25,68.72,140
9,28,2,12.25,5750,4,68,61,59.54,2982,18,59.9,120
9,29,3,4.6,5640,5,93,63,54.32,5000,30,52.7,70
9,30,4,4.22,5640,7,57,62,54.32,5000,25,51.26,150
10,1,5,5.14,5650,3,70,59,50.9,5000,38,47.66,200
10,4,1,16.68,5840,4,73,72,63.14,830,0,72.14,70
10,5,2,26,5880,3,77,71,67.64,711,-9,75.56,40
10,6,3,29.79,5890,5,80,75,71.06,1049,-10,78.98,50
10,7,4,18.31,5890,4,73,71,70.88,511,-39,83.84,17
10,8,5,12.36,5890,5,19,71,70.52,5000,-40,67.64,80
10,12,2,7,5830,8,77,71,67.1,337,-17,81.14,20
10,13,3,28.15,5860,5,86,73,69.8,492,-2,82.22,7
10,14,4,21.84,5830,5,76,71,69.44,1394,13,75.02,30
10,15,5,18.28,5800,7,66,66,62.96,3146,27,64.04,50
10,18,1,10.11,5730,4,84,64,56.3,5000,23,54.5,80
10,19,2,13.89,5780,5,74,65,63.14,2270,-7,68.9,50
10,20,3,9.14,5740,7,48,54,62.96,2191,-13,68.72,60
10,21,4,11.75,5710,8,75,62,58.64,3448,12,58.64,60
10,22,5,7.2,5690,6,74,56,52.34,5000,13,48.92,80
10,27,3,2.61,5760,5,23,57,53.42,5000,-21,50.9,300
10,28,4,7.37,5800,6,19,60,57.02,5000,-19,54.32,200
10,29,5,8.01,5810,7,59,61,55.76,2385,10,60.44,150
11,3,3,5.62,5920,3,22,71,69.08,328,-40,80.6,150
11,5,5,4.91,5860,7,19,70,62.78,5000,-29,61.7,300
11,9,2,14.18,5810,2,47,69,60.98,469,-4,71.78,50
11,10,3,16,5770,2,73,59,57.2,1541,18,63.14,20
11,11,4,4.82,5710,4,67,49,44.24,5000,24,41.9,200
11,12,5,2.9,5500,9,56,39,41.36,5000,15,41.72,120
11,15,1,5.33,5810,5,59,54,54.5,5000,-28,53.6,70
11,16,2,4.1,5860,0,25,60,61.52,5000,-38,63.5,140
11,17,3,10.99,5900,0,24,62,62.6,5000,-36,60.08,150
11,18,4,5.91,5850,5,41,65,59.54,2014,-20,69.98,200
11,19,5,8.3,5780,3,50,66,59.72,436,1,70.34,4
11,22,1,11.89,5770,2,81,62,60.62,1210,-17,67.82,30
11,23,2,9.09,5750,2,85,60,59.72,501,-22,70.88,2
11,24,3,7.01,5780,5,76,63,60.44,875,-15,68.9,0
11,26,5,4.2,5750,6,58,58,42.62,5000,59,41.9,60
11,29,1,2.82,5770,4,19,44,51.26,2280,-54,55.76,250
11,30,2,3.19,5810,2,19,53,55.94,2047,-43,63.5,150
12,1,3,3.01,5810,2,19,52,57.74,5000,-69,56.48,200
12,2,4,3.04,5870,3,19,53,60.8,3720,-50,61.34,200
12,3,5,2.95,5830,2,27,58,59,311,-24,69.98,200
12,6,1,4.65,5780,4,19,48,54.14,2933,-40,59.9,300
12,7,2,3.29,5810,3,19,51,58.28,3064,-33,62.78,200
12,8,3,4.31,5760,0,32,62,56.12,826,-16,64.76,300
12,9,4,7.26,5680,0,58,40,46.94,5000,2,42.98,50
12,10,5,4.98,5750,0,26,44,52.88,111,-52,68.18,40
12,13,1,3.23,5750,0,19,53,51.98,5000,-26,51.08,150
12,14,2,2,5720,0,19,53,52.7,5000,-31,51.44,70
12,15,3,5.23,5760,3,19,55,58.1,948,-48,70.7,200
12,16,4,2.96,5780,0,19,51,54.32,5000,-50,50.9,120
12,17,5,3.68,5660,4,19,54,49.64,5000,-22,48.56,150
12,20,1,5.71,5680,3,52,49,48.38,5000,-19,45.68,70
12,21,2,3.33,5650,5,19,48,47.12,5000,-28,45.32,150
12,22,3,4.25,5710,4,19,51,51.08,5000,-25,48.38,300
12,23,4,3.21,5680,4,57,47,45.32,508,-10,58.64,100
12,27,1,1.74,5730,3,53,51,49.28,111,-14,72.5,200
12,28,2,2.69,5690,3,23,51,49.28,5000,-36,51.26,70
12,29,3,5.05,5650,3,61,50,46.58,3704,18,46.94,40
12,30,4,0.72,5550,4,85,39,41,5000,8,39.92,100
